benchmark,num_gcds,run,size_bytes,latency_us
osu_allreduce,2,2,4,1.28
osu_allreduce,2,2,8,1.48
osu_allreduce,2,2,16,1.23
osu_allreduce,2,2,32,1.23
osu_allreduce,2,2,64,1.23
osu_allreduce,2,2,128,1.26
osu_allreduce,2,2,256,1.26
osu_allreduce,2,2,512,18.01
osu_allreduce,2,2,1024,18.65
osu_allreduce,2,2,2048,19.46
osu_allreduce,2,2,4096,28.04
osu_allreduce,2,2,8192,50.00
osu_allreduce,2,2,16384,50.33
osu_allreduce,2,2,32768,50.67
osu_allreduce,2,2,65536,50.92
osu_allreduce,2,2,131072,51.01
osu_allreduce,2,2,262144,51.97
osu_allreduce,2,2,524288,54.38
osu_allreduce,2,2,1048576,58.65
osu_allreduce,2,3,4,1.33
osu_allreduce,2,3,8,1.32
osu_allreduce,2,3,16,1.27
osu_allreduce,2,3,32,1.27
osu_allreduce,2,3,64,1.28
osu_allreduce,2,3,128,1.30
osu_allreduce,2,3,256,1.30
osu_allreduce,2,3,512,18.13
osu_allreduce,2,3,1024,18.62
osu_allreduce,2,3,2048,19.38
osu_allreduce,2,3,4096,27.87
osu_allreduce,2,3,8192,50.56
osu_allreduce,2,3,16384,50.29
osu_allreduce,2,3,32768,50.44
osu_allreduce,2,3,65536,50.43
osu_allreduce,2,3,131072,50.66
osu_allreduce,2,3,262144,51.60
osu_allreduce,2,3,524288,53.83
osu_allreduce,2,3,1048576,58.41
osu_allreduce,2,4,4,1.31
osu_allreduce,2,4,8,1.31
osu_allreduce,2,4,16,1.25
osu_allreduce,2,4,32,1.26
osu_allreduce,2,4,64,1.26
osu_allreduce,2,4,128,1.28
osu_allreduce,2,4,256,1.29
osu_allreduce,2,4,512,18.11
osu_allreduce,2,4,1024,18.56
osu_allreduce,2,4,2048,19.41
osu_allreduce,2,4,4096,28.16
osu_allreduce,2,4,8192,50.60
osu_allreduce,2,4,16384,50.30
osu_allreduce,2,4,32768,50.47
osu_allreduce,2,4,65536,50.67
osu_allreduce,2,4,131072,50.79
osu_allreduce,2,4,262144,51.82
osu_allreduce,2,4,524288,54.80
osu_allreduce,2,4,1048576,58.62
osu_allreduce,2,5,4,1.31
osu_allreduce,2,5,8,1.38
osu_allreduce,2,5,16,1.43
osu_allreduce,2,5,32,1.26
osu_allreduce,2,5,64,1.26
osu_allreduce,2,5,128,1.28
osu_allreduce,2,5,256,1.48
osu_allreduce,2,5,512,17.96
osu_allreduce,2,5,1024,18.59
osu_allreduce,2,5,2048,19.23
osu_allreduce,2,5,4096,27.92
osu_allreduce,2,5,8192,49.70
osu_allreduce,2,5,16384,49.28
osu_allreduce,2,5,32768,50.30
osu_allreduce,2,5,65536,50.68
osu_allreduce,2,5,131072,50.69
osu_allreduce,2,5,262144,51.28
osu_allreduce,2,5,524288,54.40
osu_allreduce,2,5,1048576,59.14
osu_allreduce,2,6,4,1.37
osu_allreduce,2,6,8,1.42
osu_allreduce,2,6,16,1.25
osu_allreduce,2,6,32,1.26
osu_allreduce,2,6,64,1.26
osu_allreduce,2,6,128,1.48
osu_allreduce,2,6,256,1.29
osu_allreduce,2,6,512,18.24
osu_allreduce,2,6,1024,18.69
osu_allreduce,2,6,2048,19.40
osu_allreduce,2,6,4096,28.26
osu_allreduce,2,6,8192,51.06
osu_allreduce,2,6,16384,50.47
osu_allreduce,2,6,32768,50.58
osu_allreduce,2,6,65536,50.64
osu_allreduce,2,6,131072,51.55
osu_allreduce,2,6,262144,52.62
osu_allreduce,2,6,524288,56.16
osu_allreduce,2,6,1048576,58.96
osu_allreduce,4,2,4,2.77
osu_allreduce,4,2,8,2.67
osu_allreduce,4,2,16,2.63
osu_allreduce,4,2,32,2.64
osu_allreduce,4,2,64,2.66
osu_allreduce,4,2,128,2.89
osu_allreduce,4,2,256,2.70
osu_allreduce,4,2,512,24.03
osu_allreduce,4,2,1024,24.41
osu_allreduce,4,2,2048,25.26
osu_allreduce,4,2,4096,56.30
osu_allreduce,4,2,8192,94.67
osu_allreduce,4,2,16384,97.36
osu_allreduce,4,2,32768,111.69
osu_allreduce,4,2,65536,99.17
osu_allreduce,4,2,131072,100.83
osu_allreduce,4,2,262144,103.92
osu_allreduce,4,2,524288,108.92
osu_allreduce,4,2,1048576,121.02
osu_allreduce,4,3,4,2.74
osu_allreduce,4,3,8,2.63
osu_allreduce,4,3,16,2.59
osu_allreduce,4,3,32,2.82
osu_allreduce,4,3,64,2.63
osu_allreduce,4,3,128,2.85
osu_allreduce,4,3,256,2.65
osu_allreduce,4,3,512,24.26
osu_allreduce,4,3,1024,24.31
osu_allreduce,4,3,2048,25.79
osu_allreduce,4,3,4096,54.66
osu_allreduce,4,3,8192,97.20
osu_allreduce,4,3,16384,99.06
osu_allreduce,4,3,32768,111.78
osu_allreduce,4,3,65536,100.51
osu_allreduce,4,3,131072,101.73
osu_allreduce,4,3,262144,104.04
osu_allreduce,4,3,524288,111.36
osu_allreduce,4,3,1048576,124.49
osu_allreduce,4,4,4,2.92
osu_allreduce,4,4,8,2.75
osu_allreduce,4,4,16,2.83
osu_allreduce,4,4,32,2.83
osu_allreduce,4,4,64,2.81
osu_allreduce,4,4,128,2.69
osu_allreduce,4,4,256,2.90
osu_allreduce,4,4,512,24.44
osu_allreduce,4,4,1024,24.50
osu_allreduce,4,4,2048,25.97
osu_allreduce,4,4,4096,55.29
osu_allreduce,4,4,8192,98.68
osu_allreduce,4,4,16384,100.04
osu_allreduce,4,4,32768,119.01
osu_allreduce,4,4,65536,101.58
osu_allreduce,4,4,131072,103.14
osu_allreduce,4,4,262144,105.82
osu_allreduce,4,4,524288,112.68
osu_allreduce,4,4,1048576,125.26
osu_allreduce,4,5,4,2.79
osu_allreduce,4,5,8,2.93
osu_allreduce,4,5,16,2.66
osu_allreduce,4,5,32,2.88
osu_allreduce,4,5,64,2.68
osu_allreduce,4,5,128,2.92
osu_allreduce,4,5,256,2.81
osu_allreduce,4,5,512,24.58
osu_allreduce,4,5,1024,24.59
osu_allreduce,4,5,2048,25.70
osu_allreduce,4,5,4096,56.84
osu_allreduce,4,5,8192,99.36
osu_allreduce,4,5,16384,100.24
osu_allreduce,4,5,32768,118.43
osu_allreduce,4,5,65536,101.28
osu_allreduce,4,5,131072,102.48
osu_allreduce,4,5,262144,104.90
osu_allreduce,4,5,524288,112.08
osu_allreduce,4,5,1048576,124.45
osu_allreduce,4,6,4,2.82
osu_allreduce,4,6,8,2.80
osu_allreduce,4,6,16,2.65
osu_allreduce,4,6,32,2.72
osu_allreduce,4,6,64,2.87
osu_allreduce,4,6,128,2.85
osu_allreduce,4,6,256,2.73
osu_allreduce,4,6,512,24.09
osu_allreduce,4,6,1024,24.63
osu_allreduce,4,6,2048,26.24
osu_allreduce,4,6,4096,56.12
osu_allreduce,4,6,8192,95.21
osu_allreduce,4,6,16384,97.29
osu_allreduce,4,6,32768,120.21
osu_allreduce,4,6,65536,99.01
osu_allreduce,4,6,131072,100.66
osu_allreduce,4,6,262144,103.47
osu_allreduce,4,6,524288,108.74
osu_allreduce,4,6,1048576,121.39
osu_allreduce,6,2,4,4.17
osu_allreduce,6,2,8,3.83
osu_allreduce,6,2,16,3.70
osu_allreduce,6,2,32,3.70
osu_allreduce,6,2,64,3.71
osu_allreduce,6,2,128,3.70
osu_allreduce,6,2,256,23.21
osu_allreduce,6,2,512,47.10
osu_allreduce,6,2,1024,49.63
osu_allreduce,6,2,2048,49.71
osu_allreduce,6,2,4096,69.89
osu_allreduce,6,2,8192,70.27
osu_allreduce,6,2,16384,124.68
osu_allreduce,6,2,32768,141.21
osu_allreduce,6,2,65536,123.30
osu_allreduce,6,2,131072,121.03
osu_allreduce,6,2,262144,116.66
osu_allreduce,6,2,524288,109.61
osu_allreduce,6,2,1048576,593.52
osu_allreduce,6,3,4,4.23
osu_allreduce,6,3,8,3.93
osu_allreduce,6,3,16,3.68
osu_allreduce,6,3,32,3.77
osu_allreduce,6,3,64,3.80
osu_allreduce,6,3,128,3.87
osu_allreduce,6,3,256,22.80
osu_allreduce,6,3,512,47.35
osu_allreduce,6,3,1024,50.13
osu_allreduce,6,3,2048,49.58
osu_allreduce,6,3,4096,70.42
osu_allreduce,6,3,8192,69.67
