benchmark,num_gcds,run,size_bytes,latency_us
osu_allreduce,4,5,1048576,77.94
osu_allreduce,4,6,4,28.94
osu_allreduce,4,6,8,30.60
osu_allreduce,4,6,16,31.20
osu_allreduce,4,6,32,32.54
osu_allreduce,4,6,64,35.35
osu_allreduce,4,6,128,35.29
osu_allreduce,4,6,256,35.43
osu_allreduce,4,6,512,37.21
osu_allreduce,4,6,1024,35.86
osu_allreduce,4,6,2048,36.27
osu_allreduce,4,6,4096,37.26
osu_allreduce,4,6,8192,38.18
osu_allreduce,4,6,16384,38.01
osu_allreduce,4,6,32768,38.02
osu_allreduce,4,6,65536,57.00
osu_allreduce,4,6,131072,64.76
osu_allreduce,4,6,262144,55.84
osu_allreduce,4,6,524288,66.25
osu_allreduce,4,6,1048576,78.09
osu_allreduce,6,2,4,33.17
osu_allreduce,6,2,8,34.95
osu_allreduce,6,2,16,35.36
osu_allreduce,6,2,32,36.79
osu_allreduce,6,2,64,32.47
osu_allreduce,6,2,128,32.73
osu_allreduce,6,2,256,33.25
osu_allreduce,6,2,512,36.00
osu_allreduce,6,2,1024,35.03
osu_allreduce,6,2,2048,36.57
osu_allreduce,6,2,4096,36.70
osu_allreduce,6,2,8192,64.82
osu_allreduce,6,2,16384,69.82
osu_allreduce,6,2,32768,68.98
osu_allreduce,6,2,65536,68.56
osu_allreduce,6,2,131072,82.25
osu_allreduce,6,2,262144,92.83
osu_allreduce,6,2,524288,111.82
osu_allreduce,6,2,1048576,155.52
osu_allreduce,6,3,4,32.76
osu_allreduce,6,3,8,34.83
osu_allreduce,6,3,16,35.16
osu_allreduce,6,3,32,36.88
osu_allreduce,6,3,64,32.60
osu_allreduce,6,3,128,32.67
osu_allreduce,6,3,256,33.41
osu_allreduce,6,3,512,36.46
osu_allreduce,6,3,1024,35.49
osu_allreduce,6,3,2048,36.93
osu_allreduce,6,3,4096,36.99
osu_allreduce,6,3,8192,64.81
osu_allreduce,6,3,16384,69.95
osu_allreduce,6,3,32768,68.95
osu_allreduce,6,3,65536,68.44
osu_allreduce,6,3,131072,82.01
osu_allreduce,6,3,262144,92.74
osu_allreduce,6,3,524288,111.88
osu_allreduce,6,3,1048576,155.42
osu_allreduce,6,4,4,33.86
osu_allreduce,6,4,8,34.62
osu_allreduce,6,4,16,35.03
osu_allreduce,6,4,32,36.66
osu_allreduce,6,4,64,32.83
osu_allreduce,6,4,128,33.15
osu_allreduce,6,4,256,33.69
osu_allreduce,6,4,512,36.34
osu_allreduce,6,4,1024,35.12
osu_allreduce,6,4,2048,36.80
osu_allreduce,6,4,4096,36.79
osu_allreduce,6,4,8192,65.40
osu_allreduce,6,4,16384,70.06
osu_allreduce,6,4,32768,69.16
osu_allreduce,6,4,65536,68.34
osu_allreduce,6,4,131072,81.95
osu_allreduce,6,4,262144,92.86
osu_allreduce,6,4,524288,111.60
osu_allreduce,6,4,1048576,155.78
osu_allreduce,6,5,4,34.12
osu_allreduce,6,5,8,35.01
osu_allreduce,6,5,16,35.55
osu_allreduce,6,5,32,37.10
osu_allreduce,6,5,64,32.76
osu_allreduce,6,5,128,32.89
osu_allreduce,6,5,256,33.62
osu_allreduce,6,5,512,36.57
osu_allreduce,6,5,1024,34.99
osu_allreduce,6,5,2048,36.88
osu_allreduce,6,5,4096,36.89
osu_allreduce,6,5,8192,65.34
osu_allreduce,6,5,16384,70.12
osu_allreduce,6,5,32768,69.45
osu_allreduce,6,5,65536,69.00
osu_allreduce,6,5,131072,81.98
osu_allreduce,6,5,262144,92.77
osu_allreduce,6,5,524288,111.47
osu_allreduce,6,5,1048576,154.94
osu_allreduce,6,6,4,32.98
osu_allreduce,6,6,8,34.56
osu_allreduce,6,6,16,35.07
osu_allreduce,6,6,32,36.90
osu_allreduce,6,6,64,32.56
osu_allreduce,6,6,128,32.94
osu_allreduce,6,6,256,33.40
osu_allreduce,6,6,512,36.33
osu_allreduce,6,6,1024,34.84
osu_allreduce,6,6,2048,36.61
osu_allreduce,6,6,4096,36.64
osu_allreduce,6,6,8192,64.87
osu_allreduce,6,6,16384,69.81
osu_allreduce,6,6,32768,69.24
osu_allreduce,6,6,65536,68.91
osu_allreduce,6,6,131072,82.10
osu_allreduce,6,6,262144,93.11
osu_allreduce,6,6,524288,112.09
osu_allreduce,6,6,1048576,155.98
osu_allreduce,8,2,4,37.18
osu_allreduce,8,2,8,38.86
osu_allreduce,8,2,16,39.17
osu_allreduce,8,2,32,40.97
osu_allreduce,8,2,64,44.04
osu_allreduce,8,2,128,49.87
osu_allreduce,8,2,256,49.83
osu_allreduce,8,2,512,52.81
osu_allreduce,8,2,1024,50.78
osu_allreduce,8,2,2048,51.49
osu_allreduce,8,2,4096,52.35
osu_allreduce,8,2,8192,53.51
osu_allreduce,8,2,16384,54.82
osu_allreduce,8,2,32768,54.80
osu_allreduce,8,2,65536,54.39
osu_allreduce,8,2,131072,54.89
osu_allreduce,8,2,262144,88.09
osu_allreduce,8,2,524288,111.73
osu_allreduce,8,2,1048576,123.43
osu_allreduce,8,3,4,36.12
osu_allreduce,8,3,8,38.60
osu_allreduce,8,3,16,38.98
osu_allreduce,8,3,32,40.83
osu_allreduce,8,3,64,43.91
osu_allreduce,8,3,128,49.55
osu_allreduce,8,3,256,49.57
osu_allreduce,8,3,512,52.82
osu_allreduce,8,3,1024,50.64
osu_allreduce,8,3,2048,51.18
osu_allreduce,8,3,4096,52.22
osu_allreduce,8,3,8192,53.10
osu_allreduce,8,3,16384,54.47
osu_allreduce,8,3,32768,53.83
osu_allreduce,8,3,65536,53.93
osu_allreduce,8,3,131072,54.86
osu_allreduce,8,3,262144,87.18
osu_allreduce,8,3,524288,111.56
osu_allreduce,8,3,1048576,123.36
osu_allreduce,8,4,4,35.99
osu_allreduce,8,4,8,38.12
osu_allreduce,8,4,16,38.65
osu_allreduce,8,4,32,40.55
osu_allreduce,8,4,64,43.65
osu_allreduce,8,4,128,49.39
osu_allreduce,8,4,256,49.35
osu_allreduce,8,4,512,52.69
osu_allreduce,8,4,1024,50.19
osu_allreduce,8,4,2048,50.96
osu_allreduce,8,4,4096,51.72
osu_allreduce,8,4,8192,52.91
osu_allreduce,8,4,16384,54.22
osu_allreduce,8,4,32768,53.78
osu_allreduce,8,4,65536,54.33
osu_allreduce,8,4,131072,54.52
osu_allreduce,8,4,262144,87.38
osu_allreduce,8,4,524288,111.38
osu_allreduce,8,4,1048576,123.25
osu_allreduce,8,5,4,36.45
osu_allreduce,8,5,8,38.55
osu_allreduce,8,5,16,39.06
osu_allreduce,8,5,32,40.64
osu_allreduce,8,5,64,43.87
osu_allreduce,8,5,128,49.62
osu_allreduce,8,5,256,49.67
osu_allreduce,8,5,512,52.60
osu_allreduce,8,5,1024,50.51
osu_allreduce,8,5,2048,51.37
osu_allreduce,8,5,4096,52.46
osu_allreduce,8,5,8192,53.32
osu_allreduce,8,5,16384,54.58
osu_allreduce,8,5,32768,54.41
osu_allreduce,8,5,65536,55.01
osu_allreduce,8,5,131072,54.72
osu_allreduce,8,5,262144,87.28
osu_allreduce,8,5,524288,111.56
osu_allreduce,8,5,1048576,123.48
osu_allreduce,8,6,4,35.64
osu_allreduce,8,6,8,38.26
osu_allreduce,8,6,16,38.70
osu_allreduce,8,6,32,40.28
osu_allreduce,8,6,64,43.62
osu_allreduce,8,6,128,49.28
osu_allreduce,8,6,256,49.37
osu_allreduce,8,6,512,52.46
osu_allreduce,8,6,1024,50.21
osu_allreduce,8,6,2048,51.23
osu_allreduce,8,6,4096,52.17
osu_allreduce,8,6,8192,52.87
osu_allreduce,8,6,16384,54.05
osu_allreduce,8,6,32768,53.65
osu_allreduce,8,6,65536,53.74
osu_allreduce,8,6,131072,54.71
osu_allreduce,8,6,262144,86.98
osu_allreduce,8,6,524288,111.19
osu_allreduce,8,6,1048576,122.81
