benchmark,num_gcds,run,size_bytes,latency_us
osu_alltoall,4,4,4,27.50
osu_alltoall,4,4,8,27.46
osu_alltoall,4,4,16,27.48
osu_alltoall,4,4,32,27.51
osu_alltoall,4,4,64,27.73
osu_alltoall,4,4,128,29.22
osu_alltoall,4,4,256,27.96
osu_alltoall,4,4,512,28.02
osu_alltoall,4,4,1024,28.42
osu_alltoall,4,4,2048,29.33
osu_alltoall,4,4,4096,30.81
osu_alltoall,4,4,8192,30.49
osu_alltoall,4,4,16384,33.57
osu_alltoall,4,4,32768,40.55
osu_alltoall,4,4,65536,39.38
osu_alltoall,4,4,131072,41.64
osu_alltoall,4,4,262144,54.47
osu_alltoall,4,4,524288,80.20
osu_alltoall,4,4,1048576,131.85
osu_alltoall,4,5,1,24.45
osu_alltoall,4,5,2,26.59
osu_alltoall,4,5,4,27.31
osu_alltoall,4,5,8,27.53
osu_alltoall,4,5,16,27.52
osu_alltoall,4,5,32,27.57
osu_alltoall,4,5,64,27.72
osu_alltoall,4,5,128,29.30
osu_alltoall,4,5,256,27.84
osu_alltoall,4,5,512,27.96
osu_alltoall,4,5,1024,28.43
osu_alltoall,4,5,2048,29.26
osu_alltoall,4,5,4096,30.55
osu_alltoall,4,5,8192,30.64
osu_alltoall,4,5,16384,34.21
osu_alltoall,4,5,32768,39.84
osu_alltoall,4,5,65536,40.12
osu_alltoall,4,5,131072,41.60
osu_alltoall,4,5,262144,54.32
osu_alltoall,4,5,524288,80.78
osu_alltoall,4,5,1048576,131.85
osu_alltoall,4,6,1,24.81
osu_alltoall,4,6,2,26.96
osu_alltoall,4,6,4,27.47
osu_alltoall,4,6,8,27.48
osu_alltoall,4,6,16,27.34
osu_alltoall,4,6,32,27.26
osu_alltoall,4,6,64,27.57
osu_alltoall,4,6,128,29.32
osu_alltoall,4,6,256,28.05
osu_alltoall,4,6,512,28.09
osu_alltoall,4,6,1024,28.63
osu_alltoall,4,6,2048,29.28
osu_alltoall,4,6,4096,30.58
osu_alltoall,4,6,8192,30.62
osu_alltoall,4,6,16384,33.49
osu_alltoall,4,6,32768,40.04
osu_alltoall,4,6,65536,39.81
osu_alltoall,4,6,131072,42.24
osu_alltoall,4,6,262144,54.59
osu_alltoall,4,6,524288,80.82
osu_alltoall,4,6,1048576,131.97
osu_alltoall,6,2,1,40.70
osu_alltoall,6,2,2,42.83
osu_alltoall,6,2,4,44.03
osu_alltoall,6,2,8,43.93
osu_alltoall,6,2,16,43.89
osu_alltoall,6,2,32,44.04
osu_alltoall,6,2,64,44.20
osu_alltoall,6,2,128,46.51
osu_alltoall,6,2,256,45.02
osu_alltoall,6,2,512,45.78
osu_alltoall,6,2,1024,47.09
osu_alltoall,6,2,2048,48.67
osu_alltoall,6,2,4096,53.30
osu_alltoall,6,2,8192,62.98
osu_alltoall,6,2,16384,83.51
osu_alltoall,6,2,32768,124.78
osu_alltoall,6,2,65536,82.73
osu_alltoall,6,2,131072,107.46
osu_alltoall,6,2,262144,165.46
osu_alltoall,6,2,524288,277.30
osu_alltoall,6,2,1048576,474.01
osu_alltoall,6,3,1,40.55
osu_alltoall,6,3,2,42.73
osu_alltoall,6,3,4,43.75
osu_alltoall,6,3,8,44.09
osu_alltoall,6,3,16,44.15
osu_alltoall,6,3,32,43.96
osu_alltoall,6,3,64,44.21
osu_alltoall,6,3,128,46.68
osu_alltoall,6,3,256,45.04
osu_alltoall,6,3,512,45.83
osu_alltoall,6,3,1024,46.44
osu_alltoall,6,3,2048,48.80
osu_alltoall,6,3,4096,53.09
osu_alltoall,6,3,8192,62.76
osu_alltoall,6,3,16384,83.03
osu_alltoall,6,3,32768,124.18
osu_alltoall,6,3,65536,82.34
osu_alltoall,6,3,131072,106.35
osu_alltoall,6,3,262144,164.45
osu_alltoall,6,3,524288,276.47
osu_alltoall,6,3,1048576,473.85
osu_alltoall,6,4,1,40.53
osu_alltoall,6,4,2,42.74
osu_alltoall,6,4,4,43.64
osu_alltoall,6,4,8,43.92
osu_alltoall,6,4,16,43.53
osu_alltoall,6,4,32,43.52
osu_alltoall,6,4,64,44.17
osu_alltoall,6,4,128,46.58
osu_alltoall,6,4,256,44.82
osu_alltoall,6,4,512,45.34
osu_alltoall,6,4,1024,46.55
osu_alltoall,6,4,2048,48.47
osu_alltoall,6,4,4096,53.06
osu_alltoall,6,4,8192,62.54
osu_alltoall,6,4,16384,82.78
osu_alltoall,6,4,32768,123.98
osu_alltoall,6,4,65536,81.78
osu_alltoall,6,4,131072,106.05
osu_alltoall,6,4,262144,164.68
osu_alltoall,6,4,524288,276.47
osu_alltoall,6,4,1048576,474.36
osu_alltoall,6,5,1,40.31
osu_alltoall,6,5,2,42.50
osu_alltoall,6,5,4,43.79
osu_alltoall,6,5,8,43.86
osu_alltoall,6,5,16,43.66
osu_alltoall,6,5,32,43.91
osu_alltoall,6,5,64,44.06
osu_alltoall,6,5,128,46.34
osu_alltoall,6,5,256,44.77
osu_alltoall,6,5,512,45.34
osu_alltoall,6,5,1024,46.36
osu_alltoall,6,5,2048,48.70
osu_alltoall,6,5,4096,52.88
osu_alltoall,6,5,8192,62.28
osu_alltoall,6,5,16384,82.90
osu_alltoall,6,5,32768,124.30
osu_alltoall,6,5,65536,82.50
osu_alltoall,6,5,131072,106.42
osu_alltoall,6,5,262144,164.41
osu_alltoall,6,5,524288,276.92
osu_alltoall,6,5,1048576,473.40
osu_alltoall,6,6,1,40.53
osu_alltoall,6,6,2,42.57
osu_alltoall,6,6,4,43.36
osu_alltoall,6,6,8,43.61
osu_alltoall,6,6,16,43.68
osu_alltoall,6,6,32,43.57
osu_alltoall,6,6,64,44.22
osu_alltoall,6,6,128,46.50
osu_alltoall,6,6,256,44.84
osu_alltoall,6,6,512,45.27
osu_alltoall,6,6,1024,46.32
osu_alltoall,6,6,2048,48.38
osu_alltoall,6,6,4096,52.87
osu_alltoall,6,6,8192,62.78
osu_alltoall,6,6,16384,83.08
osu_alltoall,6,6,32768,124.52
osu_alltoall,6,6,65536,82.52
osu_alltoall,6,6,131072,106.98
osu_alltoall,6,6,262144,164.77
osu_alltoall,6,6,524288,277.04
osu_alltoall,6,6,1048576,473.83
osu_alltoall,8,2,1,27.89
osu_alltoall,8,2,2,30.67
osu_alltoall,8,2,4,31.17
osu_alltoall,8,2,8,31.35
osu_alltoall,8,2,16,31.61
osu_alltoall,8,2,32,31.28
osu_alltoall,8,2,64,31.40
osu_alltoall,8,2,128,34.49
osu_alltoall,8,2,256,31.70
osu_alltoall,8,2,512,31.91
osu_alltoall,8,2,1024,32.07
osu_alltoall,8,2,2048,32.89
osu_alltoall,8,2,4096,34.44
osu_alltoall,8,2,8192,35.12
osu_alltoall,8,2,16384,38.59
osu_alltoall,8,2,32768,45.67
osu_alltoall,8,2,65536,45.10
osu_alltoall,8,2,131072,51.35
osu_alltoall,8,2,262144,68.84
osu_alltoall,8,2,524288,101.91
osu_alltoall,8,2,1048576,169.32
osu_alltoall,8,3,1,27.50
osu_alltoall,8,3,2,30.70
osu_alltoall,8,3,4,31.74
osu_alltoall,8,3,8,31.55
osu_alltoall,8,3,16,31.46
osu_alltoall,8,3,32,31.48
osu_alltoall,8,3,64,31.58
osu_alltoall,8,3,128,34.15
osu_alltoall,8,3,256,31.82
osu_alltoall,8,3,512,31.70
osu_alltoall,8,3,1024,32.10
osu_alltoall,8,3,2048,32.97
osu_alltoall,8,3,4096,34.51
osu_alltoall,8,3,8192,35.00
osu_alltoall,8,3,16384,38.86
osu_alltoall,8,3,32768,45.65
osu_alltoall,8,3,65536,45.25
osu_alltoall,8,3,131072,51.25
osu_alltoall,8,3,262144,68.76
osu_alltoall,8,3,524288,102.01
osu_alltoall,8,3,1048576,169.34
osu_alltoall,8,4,1,26.89
osu_alltoall,8,4,2,30.64
osu_alltoall,8,4,4,31.23
osu_alltoall,8,4,8,31.23
osu_alltoall,8,4,16,31.27
osu_alltoall,8,4,32,31.36
osu_alltoall,8,4,64,31.49
osu_alltoall,8,4,128,34.21
osu_alltoall,8,4,256,31.83
osu_alltoall,8,4,512,31.86
osu_alltoall,8,4,1024,31.99
osu_alltoall,8,4,2048,32.93
osu_alltoall,8,4,4096,34.44
osu_alltoall,8,4,8192,34.95
osu_alltoall,8,4,16384,38.85
osu_alltoall,8,4,32768,45.37
osu_alltoall,8,4,65536,44.60
osu_alltoall,8,4,131072,51.21
osu_alltoall,8,4,262144,68.52
osu_alltoall,8,4,524288,101.80
osu_alltoall,8,4,1048576,168.99
osu_alltoall,8,5,1,27.39
osu_alltoall,8,5,2,30.82
osu_alltoall,8,5,4,31.40
osu_alltoall,8,5,8,31.38
