pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
intra_pkg_OAM0,0,1,intra_pkg,4,2,1,0.51
intra_pkg_OAM0,0,1,intra_pkg,4,2,2,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,4,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,8,0.48
intra_pkg_OAM0,0,1,intra_pkg,4,2,16,0.48
intra_pkg_OAM0,0,1,intra_pkg,4,2,32,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,64,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,128,0.50
intra_pkg_OAM0,0,1,intra_pkg,4,2,256,0.51
intra_pkg_OAM0,0,1,intra_pkg,4,2,512,4.89
intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,4.85
intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,5.03
intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,14.31
intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,14.41
intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,14.60
intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,14.62
intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,14.80
intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,15.28
intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,16.18
intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,17.94
intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,21.42
intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,28.51
intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,43.58
intra_pkg_OAM0,0,1,intra_pkg,4,3,1,0.52
intra_pkg_OAM0,0,1,intra_pkg,4,3,2,0.50
intra_pkg_OAM0,0,1,intra_pkg,4,3,4,0.50
intra_pkg_OAM0,0,1,intra_pkg,4,3,8,0.50
intra_pkg_OAM0,0,1,intra_pkg,4,3,16,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,3,32,0.50
intra_pkg_OAM0,0,1,intra_pkg,4,3,64,0.50
intra_pkg_OAM0,0,1,intra_pkg,4,3,128,0.51
intra_pkg_OAM0,0,1,intra_pkg,4,3,256,0.52
intra_pkg_OAM0,0,1,intra_pkg,4,3,512,4.96
intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,4.88
intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,4.96
intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,14.43
intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,14.54
intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,14.87
intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,14.79
intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,15.05
intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,15.35
intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,16.24
intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,18.04
intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,21.38
intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,28.56
intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,43.58
intra_pkg_OAM0,0,1,intra_pkg,4,4,1,0.51
intra_pkg_OAM0,0,1,intra_pkg,4,4,2,0.50
intra_pkg_OAM0,0,1,intra_pkg,4,4,4,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,4,8,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,4,16,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,4,32,0.49
