Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
131072                223.46
262144                331.91
524288                547.35
1048576               968.37
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.66
8                      28.62
16                     26.80
32                     27.18
64                     27.30
128                    27.57
256                    27.32
512                    35.71
1024                   36.35
2048                   37.41
4096                   43.07
8192                  125.62
16384                 129.90
32768                 140.13
65536                 166.32
131072                224.11
262144                330.32
524288                540.77
1048576               969.65

################################################################
# osu_allreduce  N=8 GCDs   devices=0,1,2,3,4,5,6,7   cpu_mask=49,57,17,25,1,9,33,41
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.89
8                      31.95
16                     29.64
32                     29.72
64                     29.77
128                    31.17
256                    42.99
512                    43.63
1024                   44.49
2048                   46.78
4096                   50.28
8192                  125.22
16384                 125.61
32768                 134.78
65536                 157.14
131072                208.64
262144                310.41
524288                524.64
1048576               949.75
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.41
8                      32.14
16                     29.72
32                     29.81
64                     29.77
128                    31.29
256                    43.19
512                    43.62
1024                   44.51
2048                   47.27
4096                   50.55
8192                  123.02
16384                 124.03
32768                 133.19
65536                 158.84
131072                207.44
262144                315.28
524288                523.65
1048576               944.28
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.64
8                      32.44
16                     29.86
32                     29.87
64                     29.89
128                    31.28
256                    44.16
512                    44.32
1024                   45.02
2048                   47.49
4096                   51.14
8192                  124.88
16384                 127.24
32768                 134.27
65536                 159.84
131072                214.80
262144                309.40
524288                517.55
1048576               941.16
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.41
8                      32.29
16                     30.00
32                     30.02
64                     30.05
128                    31.23
256                    43.50
512                    43.74
1024                   44.78
2048                   46.50
4096                   49.87
8192                  122.55
16384                 124.67
32768                 136.62
65536                 159.20
131072                207.75
262144                313.83
524288                529.13
1048576               930.36
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.22
8                      32.15
16                     29.67
32                     29.77
64                     29.77
128                    31.37
256                    42.98
512                    43.14
1024                   44.17
2048                   46.33
4096                   50.65
8192                  123.63
16384                 125.48
32768                 134.54
65536                 157.97
131072                210.29
262144                323.30
524288                527.76
1048576               949.05
