Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.05
8                      26.60
16                     27.10
32                     28.00
64                     28.03
128                    28.10
256                    28.06
512                    29.49
1024                   28.43
2048                   28.83
4096                   29.75
8192                   29.78
16384                  29.34
32768                  30.24
65536                  39.76
131072                 46.69
262144                 39.82
524288                 43.22
1048576                51.56
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.84
8                      26.72
16                     27.15
32                     27.91
64                     27.93
128                    28.01
256                    28.01
512                    29.90
1024                   28.55
2048                   28.84
4096                   29.83
8192                   29.73
16384                  29.87
32768                  30.72
65536                  39.30
131072                 45.95
262144                 39.40
524288                 43.43
1048576                51.89
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.98
8                      26.70
16                     27.15
32                     27.98
64                     27.99
128                    28.06
256                    28.12
512                    29.58
1024                   28.73
2048                   29.33
4096                   29.85
8192                   29.58
16384                  29.52
32768                  29.59
65536                  39.66
131072                 45.71
262144                 39.85
524288                 43.46
1048576                51.73
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.13
8                      26.56
16                     27.03
32                     27.95
64                     27.88
128                    27.81
256                    27.81
512                    29.39
1024                   28.38
2048                   28.88
4096                   29.85
8192                   29.69
16384                  29.48
32768                  29.62
65536                  39.50
131072                 45.81
262144                 39.19
524288                 43.30
1048576                51.63
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.12
8                      26.68
16                     27.11
32                     27.97
64                     27.96
128                    27.99
256                    28.12
512                    29.42
1024                   28.56
2048                   29.16
4096                   30.21
8192                   29.67
16384                  29.66
32768                  29.63
65536                  39.57
131072                 46.40
262144                 40.16
524288                 43.59
1048576                52.02

################################################################
# osu_allreduce  N=4 GCDs   devices=0,1,2,3   cpu_mask=49,57,17,25
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.11
8                      30.82
16                     31.28
32                     32.73
64                     35.37
128                    35.29
256                    35.46
512                    37.29
1024                   36.02
2048                   36.37
4096                   37.08
8192                   37.97
16384                  37.38
32768                  37.80
65536                  56.52
131072                 63.75
262144                 55.34
524288                 65.86
1048576                77.90
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.73
8                      30.39
16                     31.05
32                     32.64
64                     35.21
128                    35.08
256                    35.27
512                    36.96
1024                   35.85
2048                   36.23
4096                   37.13
8192                   37.50
16384                  37.22
32768                  37.49
65536                  57.74
131072                 65.04
262144                 55.64
524288                 66.06
1048576                78.26
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.08
8                      30.49
16                     31.16
32                     32.59
64                     35.19
128                    35.13
256                    35.20
512                    37.09
1024                   36.02
2048                   36.17
4096                   36.86
8192                   37.70
16384                  37.66
32768                  37.52
65536                  56.94
131072                 64.83
262144                 55.38
524288                 66.19
1048576                77.89
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.10
8                      30.76
16                     31.18
32                     32.57
64                     35.52
128                    35.37
256                    35.29
512                    37.14
1024                   35.87
2048                   36.18
4096                   37.03
8192                   37.84
16384                  37.71
32768                  37.27
65536                  56.54
131072                 64.63
262144                 55.56
524288                 66.03
1048576                77.94
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.94
8                      30.60
16                     31.20
32                     32.54
64                     35.35
128                    35.29
256                    35.43
512                    37.21
1024                   35.86
2048                   36.27
4096                   37.26
8192                   38.18
16384                  38.01
32768                  38.02
65536                  57.00
131072                 64.76
262144                 55.84
524288                 66.25
1048576                78.09

################################################################
