
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.10
2                       5.67
4                      13.18
8                      27.04
16                     49.35
32                    102.07
64                    214.27
128                   424.18
256                    47.92
512                    94.15
1024                  187.46
2048                  363.69
4096                  375.63
8192                  742.47
16384                1482.43
32768                2920.41
65536                5704.81
131072              11021.70
262144              20643.65
524288              36445.91
1048576             58479.26
2097152             83032.33
4194304            105276.62
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.98
2                       5.98
4                      12.71
8                      26.05
16                     52.35
32                    104.14
64                    207.80
128                   408.38
256                    48.02
512                    94.37
1024                  188.26
2048                  365.28
4096                  374.69
8192                  741.20
16384                1483.63
32768                2938.52
65536                5729.96
131072              10978.52
262144              20576.09
524288              36239.60
1048576             58450.19
2097152             83021.84
4194304            105445.76
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       6.01
4                      12.70
8                      26.05
16                     52.51
32                    104.49
64                    205.15
128                   408.13
256                    48.06
512                    94.66
1024                  188.38
2048                  371.74
4096                  375.11
8192                  741.31
16384                1480.09
32768                2925.26
65536                5715.86
131072              10975.74
262144              20597.56
524288              36224.29
1048576             58381.97
2097152             82921.08
4194304            105188.87
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       5.94
4                      12.68
8                      25.90
16                     52.18
32                    103.76
64                    206.45
128                   403.82
256                    48.12
512                    94.41
1024                  188.06
2048                  372.50
4096                  376.03
8192                  741.40
16384                1482.08
32768                2934.97
65536                5718.68
131072              10989.34
262144              20609.26
524288              36306.03
1048576             58457.26
2097152             82816.57
4194304            105311.32
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.10
4                      12.96
8                      26.64
16                     53.27
32                    106.23
64                    210.54
128                   414.88
256                    48.01
512                    94.39
1024                  188.14
2048                  367.63
4096                  376.19
8192                  742.14
16384                1485.38
32768                2933.26
65536                5725.68
131072              10971.52
262144              20575.18
524288              36304.60
1048576             58396.81
2097152             82911.25
4194304            105278.81

################################################################
# intra_pkg_OAM1   GCD(2,3)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.91
2                       5.69
4                      12.10
8                      25.21
16                     48.01
32                     96.28
64                    196.82
128                   399.28
256                    47.47
512                    94.90
1024                  187.92
2048                  369.58
4096                  374.39
8192                  738.00
16384                1477.68
32768                2900.65
65536                5636.68
131072              10967.65
262144              20535.47
524288              36205.86
1048576             58327.93
2097152             82765.31
4194304            105213.65
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.00
2                       5.85
4                      12.81
8                      26.32
16                     52.62
32                    105.76
64                    209.60
128                   415.30
256                    47.53
512                    94.62
1024                  187.68
2048                  367.58
4096                  373.36
8192                  739.49
16384                1476.46
32768                2923.32
65536                5692.89
131072              10965.06
262144              20503.72
524288              36197.94
1048576             58245.98
2097152             82712.61
4194304            105238.33
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.00
2                       5.52
4                      12.02
8                      25.38
16                     52.25
32                    100.95
64                    207.29
128                   413.06
256                    47.62
512                    94.64
1024                  187.54
2048                  366.81
4096                  373.92
8192                  738.28
16384                1476.20
32768                2896.85
65536                5638.14
131072              10968.68
262144              20530.54
524288              36262.78
1048576             58283.29
2097152             82752.79
4194304            105061.39
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.05
2                       6.15
4                      13.12
8                      26.91
16                     53.94
32                    108.10
64                    213.70
128                   420.56
256                    47.28
512                    94.46
1024                  187.56
2048                  363.09
4096                  373.21
8192                  737.88
16384                1469.44
32768                2906.29
65536                5687.96
131072              10942.60
262144              20496.78
524288              36160.84
1048576             58265.77
2097152             82818.17
4194304            105151.32
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.07
2                       6.18
4                      12.92
8                      26.88
16                     54.06
32                    108.37
64                    214.32
128                   417.04
256                    47.51
512                    94.73
1024                  187.60
2048                  367.59
4096                  373.47
8192                  738.52
16384                1476.60
32768                2919.28
65536                5691.91
131072              10963.63
262144              20541.56
524288              36209.97
1048576             58264.18
2097152             82853.70
4194304            105232.32

################################################################
# intra_pkg_OAM2   GCD(4,5)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.00
2                       5.87
4                      12.64
8                      26.26
16                     52.76
32                    102.49
64                    206.51
128                   403.54
256                    49.70
512                    97.16
1024                  192.36
2048                  377.81
4096                  388.42
8192                  772.15
16384                1538.55
32768                3037.38
65536                5927.33
131072              11418.47
262144              21279.57
524288              37486.12
