Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_alltoall  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
# Size       Avg Latency(us)
1                      20.00
2                      18.27
4                      18.73
8                      19.46
16                     17.98
32                     17.72
64                     17.37
128                    37.02
256                    37.21
512                    37.34
1024                   37.59
2048                   37.84
4096                   68.43
8192                   72.98
16384                  72.53
32768                  71.97
65536                  75.23
131072                 74.95
262144                 81.44
524288                195.47
1048576               156.95
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.73
2                      18.29
4                      18.65
8                      19.36
16                     17.42
32                     17.47
64                     17.68
128                    37.39
256                    37.32
512                    37.47
1024                   37.83
2048                   38.01
4096                   58.21
8192                   63.13
16384                  65.03
32768                  65.12
65536                  65.81
131072                 69.47
262144                 76.96
524288                195.96
1048576               163.89
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.34
2                      18.46
4                      18.60
8                      19.66
16                     18.16
32                     18.14
64                     17.86
128                    37.13
256                    37.07
512                    37.16
1024                   37.40
2048                   37.72
4096                   70.46
8192                   73.90
16384                  72.39
32768                  73.86
65536                  73.68
131072                 69.95
262144                 71.68
524288                221.93
1048576               166.23

################################################################
# osu_alltoall  N=8 GCDs   devices=0,1,2,3,4,5,6,7   cpu_mask=49,57,17,25,1,9,33,41
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.10
2                      22.36
4                      22.41
8                      23.22
16                     22.32
32                     22.05
64                     22.06
128                    46.76
256                    46.33
512                    46.52
1024                   47.09
2048                   47.35
4096                   87.30
8192                   86.49
16384                  87.33
32768                  86.45
65536                  83.35
131072                 82.86
262144                 98.83
524288                126.95
1048576               203.99
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.43
2                      22.45
4                      22.57
8                      23.52
16                     22.20
32                     22.18
64                     22.23
128                    47.25
256                    46.72
512                    47.19
1024                   47.02
2048                   47.45
4096                   79.95
8192                   82.94
16384                  82.83
32768                  84.43
65536                  86.00
131072                 88.88
262144                 99.20
524288                134.94
1048576               226.12
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.98
2                      22.27
4                      22.33
8                      23.24
16                     22.02
32                     22.00
64                     22.01
128                    47.25
256                    46.51
512                    46.94
1024                   47.68
2048                   47.13
4096                   81.30
8192                   83.58
16384                  83.74
32768                  84.03
65536                  83.89
131072                 85.01
262144                 92.64
524288                131.46
1048576               245.49
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.21
2                      22.41
4                      22.50
8                      23.46
16                     22.11
32                     22.07
64                     22.17
128                    46.85
256                    47.28
512                    48.31
1024                   48.06
2048                   48.46
4096                   77.91
8192                   79.20
16384                  78.08
32768                  78.51
65536                  79.92
131072                 82.67
262144                 98.10
524288                136.92
1048576               259.02
  [run 6/6] recording

