================================================================
osu_mbw_mr aggregate (8 ranks, 4 pairs, 3 configs)
================================================================

################################################################
# [osu_mbw_mr] cfg_routed_split
# Pairing: (0,4)(1,5)(2,6)(3,7) all_routed
# ROCR order: 0,1,2,3,4,5,6,7   (rank i ↔ rank i+4)
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
4                      42.37       10593577.60
8                      85.73       10715703.29
16                    171.62       10726077.97
32                    348.77       10898976.07
64                    695.22       10862770.22
128                    95.30         744562.99
256                   189.77         741293.16
512                   377.96         738211.87
1024                  749.73         732161.00
2048                 1483.57         724397.85
4096                 1516.42         370219.53
8192                 3001.05         366338.52
16384                5967.19         364208.43
32768               11851.34         361674.15
65536               23089.92         352324.29
131072              44486.36         339404.00
262144              83091.98         316970.73
524288             146467.78         279365.13
1048576            235406.28         224500.92
2097152            334597.73         159548.63
4194304            423051.87         100863.42
  [run 5/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.03       10032156.79
2                      20.48       10239686.67
4                      42.40       10600693.91
8                      85.90       10737328.35
16                    172.55       10784499.68
32                    344.16       10754933.30
64                    665.46       10397828.64
128                    95.54         746374.28
256                   190.65         744725.78
512                   376.79         735915.99
1024                  746.61         729112.15
2048                 1467.93         716764.29
4096                 1502.87         366911.37
8192                 2972.50         362853.69
16384                5916.50         361114.79
32768               11858.36         361888.50
65536               23105.70         352565.00
131072              44499.53         339504.51
262144              83142.10         317161.92
524288             146663.52         279738.46
1048576            235478.14         224569.46
2097152            334524.08         159513.51
4194304            423342.83         100932.80
  [run 6/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.26       10257122.21
2                      20.63       10316777.46
4                      42.33       10582663.47
8                      85.91       10739204.40
16                    172.61       10788425.28
32                    346.15       10817162.70
64                    685.02       10703484.42
128                    95.98         749841.25
256                   191.13         746611.29
512                   378.05         738378.37
1024                  749.49         731923.39
2048                 1463.71         714703.35
4096                 1502.18         366742.62
8192                 2970.09         362560.17
16384                5966.23         364150.07
32768               11851.31         361673.43
65536               23111.84         352658.74
131072              44480.89         339362.30
262144              83063.45         316861.91
524288             146566.80         279553.98
1048576            235322.24         224420.77
2097152            334137.11         159328.99
4194304            422642.52         100765.83

################################################################
# [osu_mbw_mr] cfg_mixed_1link
# Pairing: (0,2)(1,3)(4,6)(5,7) all_inter_pkg_1link
# ROCR order: 0,1,4,5,2,3,6,7   (rank i ↔ rank i+4)
