
# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:11:51
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 01:12:01
srun: Step created for StepId=18638911.1
  [run 2/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
  [run 2/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       6.04
4                      12.00
8                      24.28
16                     49.04
32                     91.83
64                    177.80
128                   299.01
256                   417.35
512                   760.53
1024                 1189.38
2048                 1706.80
4096                 2268.63
8192                 1091.49
16384                2174.38
32768                4055.84
65536                7874.82
131072              14782.06
262144              23372.35
524288              41402.91
1048576             61566.39
2097152             85212.16
4194304            118374.97
8388608            133048.26
16777216           142787.72
33554432           148053.80
67108864           150287.57
  [run 3/4] recording — 01:13:42
  [run 3/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.72
2                       6.01
4                      12.24
8                      24.25
16                     49.72
32                     96.22
64                    184.61
128                   325.80
256                   426.09
512                   780.25
1024                 1397.69
2048                 1798.95
4096                 2269.58
8192                 1094.71
16384                2187.44
32768                4071.67
65536                7858.03
131072              14774.39
262144              23382.40
524288              41610.75
1048576             61790.63
2097152             85329.13
4194304            118182.10
8388608            133319.46
16777216           143043.47
33554432           148351.84
67108864           150439.87
  [run 4/4] recording — 01:13:50
  [run 4/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       6.65
4                      13.37
8                      26.65
16                     54.48
32                    100.23
64                    223.53
128                   346.80
256                   437.66
512                   808.94
1024                 1374.04
2048                 1853.23
4096                 2276.03
8192                 1106.16
16384                2203.93
32768                4097.30
65536                7945.44
131072              14861.48
262144              23330.20
524288              41416.63
1048576             61661.71
2097152             85323.44
4194304            118034.82
8388608            132940.02
16777216           142795.60
33554432           147987.96
67108864           150061.29

# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=8192] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:13:57
  [run 1/4] warm-up done in 8s
  [run 2/4] recording — 01:14:05
  [run 2/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       6.18
4                      12.11
8                      24.55
16                     48.95
32                     96.58
64                    190.93
128                   354.00
256                   427.24
512                   774.97
1024                 1322.51
2048                 1763.27
4096                 2805.46
8192                 1105.88
16384                2202.90
32768                4093.88
65536                7934.30
131072              14898.81
262144              23340.25
524288              41315.52
1048576             61554.32
2097152             85266.69
4194304            118194.20
