################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0 host_buf] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:39:29
  [run 1/6] warm-up done in 48s
  [run 2/6] recording — 21:40:17
  [run 2/6] done in 44s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
4194304             37897.46
8388608             38076.68
16777216            27363.32
33554432            15905.25
67108864            22226.45

# [eessi sdma=0 host_buf] inter_pkg_1link_02  GCD(0,2) tier=inter_pkg_1link
  [run 1/6] warm-up — 21:48:10
  [run 1/6] warm-up done in 43s
  [run 2/6] recording — 21:48:53
  [run 2/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.77
2                      30.04
4                      66.35
8                     120.41
16                    262.61
32                    506.59
64                   1028.30
128                  1668.78
256                  3014.80
512                  5551.90
1024                10012.70
2048                15394.21
4096                16454.75
8192                27391.48
16384               34066.89
32768               38322.71
65536               44513.48
131072              48425.29
262144              43272.15
524288              38113.08
1048576             37794.72
2097152             38217.22
4194304             38204.65
8388608             37683.81
16777216            28540.18
33554432            16084.67
67108864            22214.39
  [run 3/6] recording — 21:49:36
  [run 3/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.73
2                      32.19
4                      56.37
8                     116.42
16                    235.69
32                    429.12
64                   1034.61
128                  1656.07
256                  2999.70
512                  5616.47
1024                10107.70
2048                15492.30
4096                15430.46
8192                25483.56
16384               33596.32
32768               37319.15
65536               43229.84
131072              44969.71
262144              42322.38
524288              37677.20
1048576             38124.29
2097152             38169.64
4194304             38152.66
8388608             37802.55
16777216            26856.42
33554432            15836.05
67108864            22307.39
  [run 4/6] recording — 21:50:19
  [run 4/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.80
2                      33.19
4                      67.48
8                     134.29
16                    270.67
32                    456.56
64                    931.50
128                  1446.24
256                  2718.10
512                  5590.37
1024                 9731.79
2048                15216.02
4096                16306.52
8192                27170.38
16384               34574.34
32768               38320.01
65536               44411.68
131072              47483.39
262144              41467.84
524288              37369.44
1048576             38431.24
2097152             38357.61
4194304             38451.83
8388608             38150.42
16777216            28656.66
33554432            16112.92
67108864            22223.45
  [run 5/6] recording — 21:51:02
  [run 5/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.65
2                      28.84
4                      57.79
8                     117.21
16                    234.00
32                    435.91
64                    891.48
128                  1538.70
256                  2855.31
512                  5387.73
1024                 9799.86
2048                15376.37
4096                16221.13
8192                27681.52
16384               34180.70
32768               38543.54
65536               44630.42
131072              48615.03
262144              44868.96
524288              37181.30
1048576             37663.24
2097152             38014.59
4194304             37983.90
8388608             38035.66
16777216            27721.95
33554432            16195.76
67108864            22316.02
  [run 6/6] recording — 21:51:45
  [run 6/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.62
2                      33.40
4                      67.74
8                     135.17
16                    271.58
32                    514.58
64                   1054.36
128                  1633.54
256                  3076.98
512                  5596.77
1024                 9972.11
2048                15412.91
4096                14892.10
8192                27422.48
16384               34457.88
32768               38625.50
65536               43870.08
131072              48180.71
262144              45086.28
524288              37521.13
1048576             37772.78
2097152             38168.06
4194304             36808.47
8388608             37495.76
16777216            28449.30
33554432            16183.26
67108864            22325.12

# [eessi sdma=0 host_buf] routed_07  GCD(0,7) tier=routed
  [run 1/6] warm-up — 21:52:28
  [run 1/6] warm-up done in 43s
  [run 2/6] recording — 21:53:11
  [run 2/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.75
2                      33.56
4                      68.21
8                     136.65
16                    266.58
32                    517.79
64                   1053.03
128                  1662.94
256                  3080.67
512                  5644.45
1024                 9940.04
2048                15426.68
4096                16211.78
8192                27682.56
16384               32834.24
32768               38863.22
65536               44657.32
131072              48773.25
262144              46003.62
524288              39012.80
1048576             38528.69
2097152             38877.12
4194304             38775.65
8388608             38540.71
16777216            27522.81
33554432            15856.47
67108864            22294.94
  [run 3/6] recording — 21:53:54
  [run 3/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.80
2                      33.61
4                      68.03
8                     117.40
16                    239.26
32                    457.14
