stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,141684.23
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,147254.66
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,149747.09
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.92
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,5.86
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,12.44
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,25.65
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,51.26
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,102.61
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,203.48
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,399.20
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,31.58
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,63.36
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,126.85
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,251.17
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,494.97
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,930.30
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,1845.39
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,3426.40
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,6643.92
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,12307.45
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,21144.78
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,37931.80
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,57993.11
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,82471.08
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,116827.04
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,132090.72
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,142019.60
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,147418.17
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,149934.77
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.96
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,5.91
