stack,sdma_enabled,mpich_gpu_ipc_threshold,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,1,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,132725.57
native,0,1,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,142601.07
native,0,1,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,148062.70
native,0,1,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,150338.11
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.51
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,5.46
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,11.04
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,22.87
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,47.76
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,95.13
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,154.16
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,291.05
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,439.86
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,788.93
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,582.14
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,1155.83
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,2341.73
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,1036.95
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,2044.26
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,3830.22
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,7527.65
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,14062.30
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,22770.97
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,40349.50
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,60452.74
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,84108.25
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,117748.89
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,132609.41
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,142232.94
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,147717.22
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,149954.78
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.85
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,6.27
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.77
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,25.20
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,51.54
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,99.53
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,182.86
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,348.89
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,441.92
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,793.83
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,575.04
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,1126.11
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,2303.26
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,1050.79
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,2095.46
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,3903.58
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,7578.54
