################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0 host_buf] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:39:23
  [run 1/6] warm-up done in 38s
  [run 2/6] recording — 21:40:01
  [run 2/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
33554432            24619.12
67108864            22660.04

# [native sdma=0 host_buf] inter_pkg_1link_02  GCD(0,2) tier=inter_pkg_1link
  [run 1/6] warm-up — 21:46:34
  [run 1/6] warm-up done in 35s
  [run 2/6] recording — 21:47:09
  [run 2/6] done in 35s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       6.54
4                      12.57
8                      25.25
16                     50.32
32                    102.33
64                    200.84
128                   311.31
256                   498.54
512                   887.46
1024                 2887.61
2048                 5691.38
4096                 9821.13
8192                15342.83
16384               23328.49
32768               29218.14
65536               37523.11
131072              44219.18
262144              43077.00
524288              37581.79
1048576             39334.96
2097152             40111.05
4194304             40425.55
8388608             40343.79
16777216            31942.83
33554432            24913.05
67108864            23215.07
  [run 3/6] recording — 21:47:44
  [run 3/6] done in 35s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.75
2                       5.96
4                      11.37
8                      25.01
16                     50.13
32                     90.88
64                    166.06
128                   348.08
256                   481.06
512                   843.63
1024                 2818.32
2048                 5593.79
4096                 9758.52
8192                14941.96
16384               22490.01
32768               28147.28
65536               35126.64
131072              38364.99
262144              36179.52
524288              35626.55
1048576             37234.70
2097152             37827.67
4194304             38250.28
8388608             38938.91
16777216            29257.82
33554432            24908.56
67108864            22326.56
  [run 4/6] recording — 21:48:19
  [run 4/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.01
2                       6.71
4                      13.19
8                      26.32
16                     54.84
32                    122.01
64                    186.33
128                   316.69
256                   503.29
512                   923.73
1024                 2840.12
2048                 5726.05
4096                 9995.45
8192                15331.75
16384               22991.57
32768               29110.73
65536               37421.21
131072              44176.43
262144              42276.31
524288              36709.94
1048576             38160.07
2097152             38690.76
4194304             39060.41
8388608             38167.53
16777216            31108.88
33554432            24942.77
67108864            22317.20
  [run 5/6] recording — 21:48:55
  [run 5/6] done in 35s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.72
2                       5.99
4                      13.04
8                      28.06
16                     46.88
32                     92.91
64                    162.51
128                   314.39
256                   475.46
512                   876.22
1024                 2809.81
2048                 5526.97
4096                 9726.89
8192                15066.90
16384               23024.61
32768               28529.94
65536               37696.15
131072              44106.84
262144              42452.32
524288              36662.15
1048576             38152.68
2097152             38753.82
4194304             39080.97
8388608             38911.17
16777216            27016.87
33554432            24264.85
67108864            22917.59
  [run 6/6] recording — 21:49:30
srun: Step created for StepId=18635289.17
  [run 6/6] done in 37s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.79
2                       6.09
4                      12.07
8                      24.02
16                     48.29
32                     93.55
64                    163.30
128                   364.46
256                   478.62
512                   875.79
1024                 2834.58
2048                 5582.18
4096                 9811.33
8192                15209.83
16384               23105.77
32768               28938.98
65536               37331.27
131072              42700.45
262144              43217.63
524288              36428.45
1048576             37637.37
2097152             37864.69
4194304             38046.23
8388608             37977.74
16777216            26244.57
33554432            24567.10
67108864            22460.19

# [native sdma=0 host_buf] routed_07  GCD(0,7) tier=routed
  [run 1/6] warm-up — 21:50:07
  [run 1/6] warm-up done in 36s
  [run 2/6] recording — 21:50:43
  [run 2/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       5.90
4                      12.00
8                      23.36
16                     46.85
32                     94.13
64                    188.48
128                   317.60
256                   460.15
512                   881.19
1024                 2828.02
2048                 5558.95
4096                 9823.43
8192                15099.85
16384               22859.20
32768               29126.07
65536               37568.24
131072              43857.34
262144              39622.57
524288              36216.93
1048576             37493.43
2097152             38208.94
4194304             38040.57
8388608             38113.54
16777216            26285.10
33554432            24968.97
67108864            22466.36
  [run 3/6] recording — 21:51:19
  [run 3/6] done in 36s

