################# NATIVE STACK #################
--- NATIVE / HSA_ENABLE_SDMA=0 ---

################################################################
# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:12
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:20:22
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
131072              13000.38
262144              21865.66
524288              38934.28
1048576             59100.77
2097152             83519.53
4194304            117477.97
8388608            132197.52
16777216           142041.10
33554432           147615.10
67108864           150131.88

################################################################
# [native sdma=0] intra_pkg_OAM2  GCD(4,5) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:21:48
  [run 1/6] warm-up done in 8s
  [run 2/6] recording — 20:21:56
  [run 2/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.89
2                       6.42
4                      12.69
8                      26.03
16                     52.01
32                    103.14
64                    185.59
128                   332.16
256                   447.53
512                   817.47
1024                  585.93
2048                 1177.65
4096                 2358.03
8192                  984.46
16384                1960.68
32768                3655.33
65536                7030.81
131072              12948.67
262144              21870.62
524288              39018.36
1048576             59075.36
2097152             83244.93
4194304            116657.47
8388608            131843.24
16777216           141964.39
33554432           147802.56
67108864           150336.38
  [run 3/6] recording — 20:22:04
  [run 3/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.42
2                       5.37
4                      10.66
8                      21.99
16                     43.31
32                     85.29
64                    170.56
128                   309.93
256                   435.01
512                   771.96
1024                  578.12
2048                 1159.36
4096                 2321.37
8192                  904.07
16384                1799.87
32768                3298.11
65536                6510.84
131072              12147.27
262144              21216.24
524288              37832.07
1048576             57819.80
2097152             82579.90
4194304            116764.34
8388608            132015.81
16777216           141512.56
33554432           147018.51
67108864           149658.00
  [run 4/6] recording — 20:22:12
  [run 4/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.67
2                       5.91
4                      12.10
8                      24.14
16                     47.72
32                     95.43
64                    176.02
128                   326.67
256                   435.01
512                   780.09
1024                  583.12
2048                 1167.36
4096                 2337.06
8192                  929.72
16384                1831.46
32768                3459.45
65536                6731.62
131072              12348.76
262144              21302.48
524288              38017.71
1048576             58268.48
2097152             82715.48
4194304            116381.13
8388608            131561.58
16777216           141596.14
33554432           147297.66
67108864           149823.05
  [run 5/6] recording — 20:22:20
  [run 5/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.77
2                       6.00
4                      12.05
8                      23.73
16                     47.52
32                     91.31
64                    197.99
128                   317.46
256                   426.32
512                   780.40
1024                  580.38
2048                 1159.81
4096                 2330.24
8192                  920.65
16384                1843.02
32768                3442.28
65536                6679.65
131072              12474.63
262144              21448.17
524288              38301.19
1048576             58099.42
2097152             82792.03
4194304            116824.80
8388608            131952.83
16777216           141803.38
33554432           147218.61
67108864           149795.97
  [run 6/6] recording — 20:22:28
  [run 6/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.64
2                       5.66
4                      11.30
8                      22.98
16                     46.47
32                     90.99
64                    173.51
128                   348.48
256                   435.66
512                   787.99
1024                  582.42
2048                 1168.47
4096                 2341.80
8192                  929.67
16384                1836.43
32768                3428.28
65536                6609.09
131072              12339.13
262144              21392.77
524288              38171.64
1048576             58337.37
2097152             82788.00
4194304            116922.78
8388608            131763.29
16777216           141516.11
33554432           147231.92
67108864           149853.82

################################################################
# [native sdma=0] inter_pkg_2link_06  GCD(0,6) tier=inter_pkg_2link links=2
################################################################
  [run 1/6] warm-up — 20:22:36
  [run 1/6] warm-up done in 14s
  [run 2/6] recording — 20:22:50
