################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:46
  [run 1/6] warm-up done in 14s
  [run 2/6] recording — 23:12:00
  [run 2/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
32768                 163.58
65536                 164.04
131072                166.52
262144                170.88
524288                180.93
1048576               197.48
  [run 5/6] recording — 23:12:56
  [run 5/6] done in 5s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.81
8                       4.73
16                      4.70
32                      4.61
64                      4.70
128                     4.67
256                    47.63
512                    85.00
1024                   87.82
2048                   86.94
4096                  165.79
8192                  167.59
16384                 164.35
32768                 164.14
65536                 165.18
131072                167.46
262144                171.80
524288                182.28
1048576               198.27
  [run 6/6] recording — 23:13:01
  [run 6/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.73
8                       4.60
16                      4.54
32                      4.55
64                      4.56
128                     4.65
256                    47.22
512                    85.16
1024                   87.45
2048                   87.31
4096                  166.25
8192                  167.42
16384                 164.19
32768                 163.95
65536                 164.80
131072                167.37
262144                171.55
524288                181.61
1048576               198.18

# [eessi sdma=0] osu_alltoall  N=2  devices=0,1
  [run 1/6] warm-up — 23:13:05
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:13:08
  [run 2/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.68
2                       1.59
4                       1.53
8                       1.54
16                      1.54
32                      1.54
64                      1.54
128                     1.60
256                     1.60
512                    24.85
1024                   28.90
2048                   28.67
4096                   13.87
8192                   14.60
16384                  14.89
32768                  15.66
65536                  16.98
131072                 20.31
262144                 37.36
524288                 61.93
1048576                42.80
  [run 3/6] recording — 23:13:11
  [run 3/6] done in 4s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.61
2                       1.61
4                       1.53
8                       1.53
16                      1.54
32                      1.53
64                      1.57
128                     1.56
256                     1.57
512                    24.77
1024                   28.53
2048                   28.16
4096                   13.90
8192                   14.76
16384                  14.93
32768                  15.76
65536                  17.15
131072                 20.17
262144                 37.31
524288                 61.63
1048576                42.95
  [run 4/6] recording — 23:13:15
  [run 4/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.66
2                       1.58
4                       1.52
8                       1.52
16                      1.52
32                      1.52
64                      1.52
128                     1.54
256                     1.56
512                    24.88
1024                   28.34
2048                   28.69
4096                   14.25
8192                   14.88
16384                  14.78
32768                  15.59
65536                  16.38
131072                 21.55
262144                 38.14
524288                 62.12
1048576                42.29
  [run 5/6] recording — 23:13:18
  [run 5/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.68
2                       1.59
4                       1.54
8                       1.54
16                      1.54
32                      1.54
64                      1.55
128                     1.56
256                     1.58
512                    24.80
1024                   28.45
2048                   27.96
4096                   13.80
8192                   14.83
16384                  14.77
32768                  16.26
65536                  16.58
131072                 20.21
262144                 36.33
524288                 61.10
1048576                42.36
  [run 6/6] recording — 23:13:21
  [run 6/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.66
2                       1.59
4                       1.54
8                       1.54
16                      1.54
32                      1.54
64                      1.55
128                     1.57
256                     1.56
512                    24.85
1024                   28.32
2048                   28.02
4096                   13.95
8192                   15.02
16384                  15.32
32768                  15.99
65536                  17.48
131072                 20.19
262144                 36.28
524288                 61.24
1048576                43.06

# [eessi sdma=0] osu_alltoall  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:13:24
  [run 1/6] warm-up done in 4s
  [run 2/6] recording — 23:13:28
  [run 2/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.77
2                       3.30
4                       3.28
8                       3.22
16                      3.17
32                      3.13
64                      3.12
128                     3.14
256                     3.15
512                    73.75
1024                   73.07
2048                   47.80
4096                   47.96
8192                   50.11
16384                  50.79
32768                  54.03
65536                  56.90
131072                 63.80
262144                108.23
524288                173.98
1048576               158.98
  [run 3/6] recording — 23:13:31
  [run 3/6] done in 4s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.87
2                       3.24
4                       3.14
8                       3.09
16                      3.05
32                      3.14
64                      3.05
128                     3.21
256                     3.09
512                    73.92
1024                   73.99
2048                   47.48
4096                   48.01
8192                   49.89
16384                  50.59
32768                  53.35
65536                  56.67
131072                 63.61
262144                108.06
524288                174.99
1048576               159.17
  [run 4/6] recording — 23:13:35
  [run 4/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.01
2                       3.34
4                       3.17
8                       3.14
16                      3.23
32                      3.19
64                      3.26
128                     3.22
256                     3.32
512                    73.48
1024                   73.51
2048                   47.74
4096                   48.57
8192                   49.85
16384                  50.37
32768                  53.33
65536                  56.51
131072                 64.12
262144                109.95
524288                175.37
1048576               158.91
  [run 5/6] recording — 23:13:38
  [run 5/6] done in 4s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.69
2                       3.24
4                       3.08
8                       3.10
16                      3.23
32                      3.06
64                      3.10
128                     3.16
256                     3.26
512                    73.83
1024                   73.92
2048                   47.81
4096                   47.92
8192                   49.41
16384                  50.53
32768                  53.29
65536                  56.10
131072                 63.24
262144                106.83
524288                167.72
1048576               158.93
  [run 6/6] recording — 23:13:42
  [run 6/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.81
2                       3.33
4                       3.04
8                       3.18
16                      3.00
32                      2.99
64                      3.03
128                     3.23
256                     3.10
512                    73.44
1024                   73.39
2048                   47.18
4096                   47.40
8192                   48.83
16384                  50.49
32768                  52.95
65536                  56.92
131072                 63.90
262144                108.20
524288                168.74
1048576               158.62

# [eessi sdma=0] osu_alltoall  N=8  devices=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 23:13:45
  [run 1/6] warm-up done in 5s
  [run 2/6] recording — 23:13:50
  [run 2/6] done in 5s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.18
2                       6.94
4                       6.90
8                       6.92
16                      6.96
32                      6.98
64                      7.15
128                     7.22
256                   135.81
512                   135.96
1024                  113.20
2048                  113.08
4096                  113.38
8192                  116.39
16384                 118.06
32768                 123.42
65536                 130.34
131072                148.76
262144                247.02
524288                360.42
1048576               356.28
  [run 3/6] recording — 23:13:55
  [run 3/6] done in 4s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.12
2                       6.96
4                       6.95
8                       6.94
16                      6.98
32                      7.01
64                      7.15
128                     7.21
256                   136.42
512                   136.50
1024                  114.13
2048                  113.86
4096                  114.21
8192                  116.99
16384                 118.17
32768                 123.48
65536                 130.36
131072                148.66
262144                247.20
524288                363.73
1048576               356.63
  [run 4/6] recording — 23:13:59
  [run 4/6] done in 5s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.17
2                       6.85
4                       6.92
8                       6.94
16                      6.90
32                      6.85
64                      6.96
128                     7.08
256                   135.67
512                   136.00
1024                  113.07
2048                  112.95
4096                  113.13
8192                  116.03
16384                 117.34
32768                 123.07
65536                 129.88
131072                148.35
262144                245.98
524288                362.78
1048576               355.74
  [run 5/6] recording — 23:14:04
  [run 5/6] done in 4s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.28
2                       7.15
4                       7.10
8                       7.01
16                      6.95
32                      6.93
64                      7.11
128                     7.17
256                   135.64
512                   135.84
1024                  113.34
2048                  113.24
4096                  113.24
8192                  116.09
16384                 117.49
32768                 123.19
65536                 130.02
131072                148.30
262144                246.64
524288                364.13
1048576               356.35
  [run 6/6] recording — 23:14:08
  [run 6/6] done in 5s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.19
2                       6.91
4                       6.94
8                       6.92
16                      7.16
32                      6.93
64                      7.06
128                     7.23
256                   135.41
512                   135.60
1024                  112.99
2048                  112.82
4096                  113.28
8192                  116.15
16384                 117.57
32768                 123.15
65536                 129.90
131072                148.46
262144                246.37
524288                363.40
1048576               356.39

# [eessi sdma=0] osu_bcast  N=2  devices=0,1
  [run 1/6] warm-up — 23:14:13
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:14:16
  [run 2/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.79
2                       0.78
4                       0.73
8                       0.73
16                      0.73
32                      0.73
64                      0.74
128                     0.74
256                     0.85
512                    12.23
1024                   12.31
2048                   12.43
4096                   12.52
8192                   13.05
16384                  13.42
32768                  13.63
65536                  13.81
131072                 14.42
262144                 15.65
524288                 17.61
1048576                21.60
  [run 3/6] recording — 23:14:19
  [run 3/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.78
2                       0.80
4                       0.73
8                       0.72
16                      0.73
32                      0.72
64                      0.75
128                     0.73
256                     0.78
512                    12.18
1024                   12.22
2048                   12.37
4096                   12.33
8192                   13.08
16384                  12.94
32768                  13.89
65536                  13.59
131072                 14.42
262144                 15.94
524288                 17.37
1048576                21.80
  [run 4/6] recording — 23:14:22
  [run 4/6] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.79
2                       0.78
4                       0.73
8                       0.73
16                      0.73
32                      0.73
64                      0.74
128                     0.74
256                     0.75
512                    12.15
1024                   12.33
2048                   12.26
4096                   12.33
8192                   12.95
16384                  13.02
32768                  13.88
65536                  13.71
131072                 14.20
262144                 15.68
524288                 17.25
1048576                21.72
  [run 5/6] recording — 23:14:26
  [run 5/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.79
2                       0.81
4                       0.73
8                       0.74
16                      0.73
32                      0.73
64                      0.74
128                     0.74
256                     0.75
512                    12.12
1024                   12.22
2048                   12.20
4096                   12.19
8192                   12.98
16384                  12.94
32768                  13.66
65536                  13.75
131072                 14.16
262144                 15.71
524288                 17.21
1048576                21.67
  [run 6/6] recording — 23:14:29
  [run 6/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.79
2                       0.78
4                       0.73
8                       0.73
16                      0.73
32                      0.72
64                      0.74
128                     0.73
256                     0.75
512                    12.17
1024                   12.20
2048                   12.41
4096                   12.37
8192                   12.92
16384                  13.27
32768                  13.35
65536                  13.99
131072                 14.29
262144                 15.87
524288                 17.40
1048576                21.58

# [eessi sdma=0] osu_bcast  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:14:32
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:14:35
  [run 2/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.23
2                       1.31
4                       1.24
8                       1.22
16                      1.29
32                      1.17
64                      1.25
128                     1.30
256                     1.25
512                    19.69
1024                   19.55
2048                   19.51
4096                   19.19
8192                   19.84
16384                  20.88
32768                  59.21
65536                  59.94
131072                 60.68
262144                 62.62
524288                 68.42
1048576                78.62
  [run 3/6] recording — 23:14:38
  [run 3/6] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.32
2                       1.27
4                       1.25
8                       1.28
16                      1.28
32                      1.21
64                      1.23
128                     1.35
256                     1.26
512                    19.59
1024                   19.59
2048                   19.92
4096                   19.32
8192                   19.86
16384                  21.66
32768                  59.32
65536                  60.01
131072                 61.01
262144                 62.48
524288                 68.48
1048576                78.07
  [run 4/6] recording — 23:14:42
  [run 4/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.24
2                       1.32
4                       1.34
8                       1.23
16                      1.27
32                      1.23
64                      1.32
128                     1.26
256                     1.23
512                    19.70
1024                   19.53
2048                   19.60
4096                   19.15
8192                   19.71
16384                  21.24
32768                  59.40
65536                  59.87
131072                 60.06
262144                 62.50
524288                 68.42
1048576                78.52
  [run 5/6] recording — 23:14:45
  [run 5/6] done in 3s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.35
2                       1.24
4                       1.24
8                       1.35
16                      1.24
32                      1.22
64                      1.32
128                     1.35
256                     1.25
512                    20.17
1024                   20.15
2048                   20.06
4096                   19.89
8192                   20.61
16384                  21.33
32768                  59.37
65536                  60.49
131072                 61.01
262144                 62.91
524288                 68.59
1048576                78.65
  [run 6/6] recording — 23:14:48
  [run 6/6] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
