=== CFG baseline: NCH=unset AFF=unset GDR=unset ===

# [eessi_xccl cfg=baseline] osu_xccl_allreduce
  [run 1/6] warm-up — 21:42:01
  [run 1/6] warm-up done in 18s
  [run 2/6] recording — 21:42:19
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
  [run 2/6] recording — 21:43:36
  [run 2/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.39
8                      37.03
16                     36.82
32                     37.71
64                     40.04
128                    46.32
256                    46.37
512                    46.84
1024                   46.95
2048                   47.97
4096                   48.63
8192                   49.79
16384                  50.93
32768                  50.39
65536                  51.13
131072                 51.92
262144                 83.17
524288                107.00
1048576               118.95
  [run 3/6] recording — 21:43:43
  [run 3/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.61
8                      36.82
16                     36.72
32                     38.58
64                     42.06
128                    47.83
256                    47.82
512                    48.28
1024                   48.65
2048                   49.35
4096                   50.19
8192                   51.43
16384                  52.41
32768                  52.18
65536                  52.18
131072                 52.99
262144                 84.12
524288                107.30
1048576               119.33
  [run 4/6] recording — 21:43:49
  [run 4/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      43.17
8                      36.45
16                     36.39
32                     38.04
64                     41.33
128                    46.99
256                    46.98
512                    47.22
1024                   47.69
2048                   48.61
4096                   49.41
8192                   50.77
16384                  51.86
32768                  52.03
65536                  51.47
131072                 52.52
262144                 85.08
524288                108.69
1048576               120.67
  [run 5/6] recording — 21:43:55
  [run 5/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.93
8                      36.54
16                     36.41
32                     38.26
64                     41.33
128                    47.25
256                    47.26
512                    47.56
1024                   48.08
2048                   48.84
4096                   49.56
8192                   50.86
16384                  52.02
32768                  51.63
65536                  51.46
131072                 52.32
262144                 85.76
524288                109.35
1048576               121.61
  [run 6/6] recording — 21:44:02
  [run 6/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.37
8                      37.01
16                     36.96
32                     38.73
64                     41.98
128                    47.01
256                    47.10
512                    47.41
1024                   47.87
2048                   48.70
4096                   49.29
8192                   50.58
16384                  51.79
32768                  51.86
65536                  52.31
131072                 52.77
262144                 83.98
524288                107.34
1048576               119.26

# [eessi_xccl cfg=channels32] osu_xccl_alltoall
  [run 1/6] warm-up — 21:44:08
  [run 1/6] warm-up done in 9s
  [run 2/6] recording — 21:44:17
  [run 2/6] done in 9s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      84.12
2                      84.01
4                      84.17
8                      84.61
16                     84.53
32                     84.83
64                     85.66
128                    86.13
256                    87.16
512                    88.39
1024                   89.83
2048                   95.72
4096                  107.55
8192                  102.68
16384                 125.43
32768                 173.42
65536                 273.22
131072                475.57
262144                877.24
524288               1679.61
1048576               722.53
  [run 3/6] recording — 21:44:26
  [run 3/6] done in 9s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      84.45
2                      84.29
4                      84.46
8                      84.88
16                     84.77
32                     85.03
64                     85.73
128                    86.43
256                    87.59
512                    88.76
1024                   89.96
2048                   95.99
4096                  108.11
8192                  102.83
16384                 125.81
32768                 173.89
65536                 273.37
131072                476.40
262144                878.74
524288               1682.99
1048576               721.68
  [run 4/6] recording — 21:44:35
  [run 4/6] done in 9s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      84.26
2                      84.10
4                      84.25
8                      84.68
16                     84.51
32                     84.81
64                     85.45
128                    86.23
256                    87.17
512                    88.23
1024                   89.45
2048                   95.58
4096                  107.20
8192                  102.52
16384                 125.58
32768                 173.71
65536                 273.49
131072                475.83
262144                877.75
524288               1682.13
1048576               718.66
  [run 5/6] recording — 21:44:44
  [run 5/6] done in 9s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
