=== CFG baseline: NCH=unset AFF=unset GDR=unset ===

# [eessi_xccl cfg=baseline] osu_xccl_allreduce
  [run 1/6] warm-up — 21:42:01
  [run 1/6] warm-up done in 18s
  [run 2/6] recording — 21:42:19
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
  [run 4/6] recording — 21:47:55
  [run 4/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.54
8                      36.17
16                     36.04
32                     38.07
64                     40.90
128                    46.83
256                    46.81
512                    47.25
1024                   47.90
2048                   48.29
4096                   49.06
8192                   50.57
16384                  51.37
32768                  50.69
65536                  50.79
131072                 51.68
262144                 84.82
524288                108.65
1048576               120.67
  [run 5/6] recording — 21:48:01
  [run 5/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.32
8                      36.05
16                     35.89
32                     37.76
64                     40.97
128                    46.79
256                    46.79
512                    47.12
1024                   47.59
2048                   48.47
4096                   49.06
8192                   50.29
16384                  51.45
32768                  51.28
65536                  51.28
131072                 52.17
262144                 85.77
524288                109.59
1048576               121.62
  [run 6/6] recording — 21:48:08
  [run 6/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.56
8                      36.31
16                     36.24
32                     38.28
64                     41.46
128                    47.07
256                    47.13
512                    47.51
1024                   47.98
2048                   48.68
4096                   49.38
8192                   50.68
16384                  51.91
32768                  51.57
65536                  51.42
131072                 52.57
262144                 86.12
524288                109.73
1048576               122.06

# [eessi_xccl cfg=paper_full] osu_xccl_alltoall
  [run 1/6] warm-up — 21:48:14
  [run 1/6] warm-up done in 8s
  [run 2/6] recording — 21:48:22
  [run 2/6] done in 9s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      89.41
2                      89.31
4                      89.30
8                      89.61
16                     89.89
32                     90.41
64                     90.82
128                    91.43
256                    92.21
512                    93.71
1024                   95.16
2048                  100.97
4096                  113.21
8192                  108.23
16384                 130.91
32768                 178.20
65536                 278.01
131072                479.69
262144                881.72
524288               1684.58
1048576               749.78
  [run 3/6] recording — 21:48:31
  [run 3/6] done in 8s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      87.75
2                      87.63
4                      87.60
8                      88.06
16                     87.77
32                     87.93
64                     88.72
128                    89.48
256                    90.46
512                    91.72
1024                   92.79
2048                   99.76
4096                  111.79
8192                  107.10
16384                 129.60
32768                 177.74
65536                 277.66
131072                479.74
262144                880.95
524288               1683.08
1048576               721.77
  [run 4/6] recording — 21:48:39
  [run 4/6] done in 8s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      88.02
2                      87.87
4                      87.99
8                      88.24
16                     88.19
32                     88.47
64                     89.33
128                    89.86
256                    90.91
512                    92.39
1024                   95.31
2048                  100.27
4096                  111.79
8192                  107.12
16384                 129.81
32768                 177.85
65536                 277.21
131072                480.09
262144                882.10
524288               1685.02
1048576               722.65
  [run 5/6] recording — 21:48:47
  [run 5/6] done in 9s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      89.08
2                      88.87
4                      88.94
8                      89.43
16                     89.29
32                     89.60
64                     90.34
128                    91.00
256                    91.99
512                    93.13
1024                   94.93
2048                  100.34
4096                  112.76
8192                  107.48
16384                 130.46
32768                 178.53
65536                 277.48
131072                480.23
262144                882.97
524288               1686.19
1048576               726.51
  [run 6/6] recording — 21:48:56
  [run 6/6] done in 8s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      87.07
2                      86.83
4                      86.94
8                      87.43
16                     87.37
32                     87.71
64                     88.62
128                    89.31
256                    90.47
512                    91.63
1024                   92.93
2048                   98.89
4096                  110.98
8192                  105.71
16384                 128.83
32768                 176.95
65536                 276.38
131072                478.79
262144                881.74
524288               1685.16
1048576               733.87
ALL BENCHMARKS COMPLETE  CSV=results/osu_protocol_nccl_18635297.csv
