stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,latency_us
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16384,16.66
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32768,16.85
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,65536,17.25
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,131072,17.54
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,262144,19.07
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,524288,20.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1048576,24.48
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2097152,31.64
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4194304,43.12
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,1,0.50
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,2,0.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,4,0.52
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,8,0.54
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,16,0.54
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,32,0.62
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,64,0.70
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,128,0.71
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,256,1.15
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,512,1.30
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,1024,2.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,2048,2.57
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,4096,2.59
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,8192,16.21
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,16384,16.32
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,32768,16.78
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,65536,17.00
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,131072,17.54
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,262144,19.05
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,524288,20.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,1048576,24.45
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,2097152,31.60
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,4194304,43.11
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,1,0.50
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,2,0.50
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,4,0.54
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,8,0.51
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,16,0.52
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,32,0.59
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,64,0.65
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,128,0.66
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,256,1.13
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,512,1.24
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,1024,2.57
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,2048,2.63
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,4096,2.60
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,8192,16.26
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,16384,16.25
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,32768,16.71
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,65536,16.98
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,131072,17.56
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,262144,19.05
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,524288,20.48
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,1048576,24.51
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,2097152,31.71
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,4194304,42.98
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,1,0.50
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,2,0.57
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,4,0.54
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,8,0.53
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,16,0.54
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,32,0.56
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,64,0.63
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,128,0.67
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,256,1.09
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,512,1.21
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,1024,2.55
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,2048,2.58
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,4096,2.62
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,8192,16.25
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,16384,16.66
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,32768,16.83
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,65536,17.01
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,131072,17.53
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,262144,19.10
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,524288,20.47
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,1048576,24.55
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,2097152,31.78
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,3,4194304,43.00
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,1,0.50
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,2,0.60
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,4,0.52
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,8,0.50
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,16,0.52
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,32,0.57
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,64,0.66
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,128,0.70
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,256,1.14
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,512,1.29
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,1024,2.60
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,2048,2.66
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,4096,2.71
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,8192,16.29
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,16384,16.42
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,32768,16.82
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,65536,17.04
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,131072,17.58
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,262144,19.09
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,524288,20.53
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,1048576,24.58
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,2097152,31.80
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,4,4194304,43.02
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,1,0.48
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,2,0.59
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,4,0.52
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,8,0.53
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,16,0.48
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,32,0.53
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,64,0.61
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,128,0.62
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,256,1.12
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,512,1.26
native,0,intra_pkg_OAM1,2,3,intra_pkg,4,5,1024,2.63
