stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,3.02
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,6.06
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.98
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,24.36
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,53.17
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,106.68
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,211.23
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,418.69
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,30.14
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,59.88
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,119.78
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,240.80
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,483.61
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,923.73
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,1821.09
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,3456.63
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,6643.66
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,12339.06
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,21184.43
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,37770.67
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,57728.16
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,82672.18
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,116585.76
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,132002.63
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,141949.60
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,147601.28
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,150035.79
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,3.01
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,6.01
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.83
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,26.22
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,52.73
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,105.28
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,208.69
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,414.25
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,30.36
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,60.79
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,120.04
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,238.46
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,466.49
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,915.89
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,1815.11
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,3416.73
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,6633.45
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,12274.70
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,21192.97
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,37691.14
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,57714.61
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,82748.90
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,116735.56
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,131481.80
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,141826.70
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,147213.61
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,149669.37
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,3.09
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,5.60
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,13.20
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,27.19
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,54.33
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,108.92
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,214.48
