################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] cfg_routed_split  ROCR=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 21:25:33
  [run 1/6] warm-up done in 15s
  [run 2/6] recording — 21:25:48
  [run 2/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.15       10154706.56
2                      19.99        9997364.95
4                      40.94       10235396.12
8                      82.82       10351930.25
16                    165.47       10342001.09
32                    334.23       10444549.18
64                    662.05       10344455.21
128                    66.18         517030.13
256                   131.93         515367.55
512                   263.06         513779.66
1024                  518.16         506020.18
2048                 1033.36         504570.45
4096                 2046.46         499624.12
8192                 3871.26         472566.15
16384                7710.61         470618.31
32768               14481.27         441933.34
65536               28076.90         428419.45
131072              52013.98         396835.20
262144              87032.00         332000.75
524288             155165.16         295954.06
1048576            235228.65         224331.53
2097152            331984.88         158302.73
4194304            465678.30         111026.36
  [run 5/6] recording — 21:26:37
  [run 5/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.25       10249275.59
2                      21.10       10552191.87
4                      43.56       10890411.30
8                      87.98       10997813.11
16                    173.70       10856377.34
32                    350.18       10943023.61
64                    687.04       10734957.77
128                    65.65         512877.03
256                   130.82         511014.81
512                   260.55         508894.13
1024                  520.35         508157.21
2048                 1035.57         505649.98
4096                 2055.51         501832.88
8192                 3877.27         473299.61
16384                7709.89         470574.41
32768               14295.12         436252.40
65536               27791.22         424060.42
131072              52138.95         397788.64
262144              86864.14         331360.38
524288             155117.11         295862.42
1048576            235303.68         224403.07
2097152            331945.24         158283.82
4194304            465977.43         111097.68
  [run 6/6] recording — 21:26:41
  [run 6/6] done in 5s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.13       10127644.92
2                      20.31       10156447.98
4                      41.64       10409417.43
8                      84.47       10558699.56
16                    169.58       10598994.30
32                    338.55       10579580.19
64                    679.61       10618973.10
128                    66.11         516471.52
256                   131.56         513915.48
512                   262.14         511983.05
1024                  522.97         510710.07
2048                 1043.06         509305.11
4096                 2063.84         503866.41
8192                 3874.16         472919.95
16384                7720.32         471210.87
32768               14265.19         435338.92
65536               27674.89         422285.27
131072              51870.67         395741.81
262144              86763.74         330977.42
524288             155073.32         295778.89
1048576            235173.33         224278.77
2097152            331096.67         157879.20
4194304            466549.45         111234.06

# [eessi sdma=0] cfg_mixed_1link  ROCR=0,1,4,5,2,3,6,7
  [run 1/6] warm-up — 21:26:46
  [run 1/6] warm-up done in 6s
  [run 2/6] recording — 21:26:52
  [run 2/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.17       10171671.79
2                      20.89       10445087.20
4                      40.14       10033788.59
8                      87.44       10929462.17
16                    174.82       10926257.47
32                    348.10       10878263.63
64                    702.90       10982737.26
128                    66.31         518044.10
256                   132.11         516042.12
512                   264.21         516031.41
1024                  529.78         517365.36
2048                 1051.85         513596.35
4096                 2073.98         506342.68
8192                 3792.06         462897.54
16384                7404.72         451948.20
