################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:37
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:11:40
  [run 2/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
32768                  73.31
65536                  91.61
131072                214.04
262144                225.98
524288                253.05
1048576               324.47
  [run 5/6] recording — 23:11:58
  [run 5/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.75
8                       2.58
16                      2.51
32                      2.52
64                      2.52
128                     2.67
256                     8.46
512                     8.95
1024                    9.99
2048                   11.74
4096                   17.70
8192                   59.17
16384                  63.99
32768                  74.62
65536                  91.78
131072                215.14
262144                225.46
524288                252.36
1048576               326.04
  [run 6/6] recording — 23:11:59
  [run 6/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.77
8                       2.51
16                      2.52
32                      2.49
64                      2.55
128                     2.71
256                     8.43
512                     8.94
1024                   10.19
2048                   11.79
4096                   18.02
8192                   59.36
16384                  63.72
32768                  73.24
65536                  92.13
131072                214.15
262144                226.65
524288                253.29
1048576               326.36

# [native sdma=0] osu_alltoall  N=2  devices=0,1
  [run 1/6] warm-up — 23:12:00
  [run 1/6] warm-up done in 1s
  [run 2/6] recording — 23:12:01
  [run 2/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.71
2                       0.71
4                       0.72
8                       0.72
16                      0.71
32                      0.76
64                      0.80
128                     0.82
256                     1.79
512                     1.93
1024                    3.82
2048                    3.91
4096                    3.97
8192                   32.31
16384                  32.18
32768                  33.21
65536                  33.68
131072                 34.47
262144                 37.28
524288                 38.93
1048576                44.19
  [run 3/6] recording — 23:12:02
  [run 3/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.71
2                       0.73
4                       0.71
8                       0.71
16                      0.73
32                      0.75
64                      0.78
128                     0.81
256                     1.81
512                     1.92
1024                    4.09
2048                    3.96
4096                    4.03
8192                   32.57
16384                  33.18
32768                  33.23
65536                  33.74
131072                 34.74
262144                 37.43
524288                 39.12
1048576                44.86
  [run 4/6] recording — 23:12:04
  [run 4/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.73
2                       0.73
4                       0.73
8                       0.81
16                      0.74
32                      0.77
64                      0.84
128                     0.86
256                     1.77
512                     2.00
1024                    3.82
2048                    3.90
4096                    3.98
8192                   32.50
16384                  32.43
32768                  33.44
65536                  33.80
131072                 34.57
262144                 37.63
524288                 39.18
1048576                44.13
  [run 5/6] recording — 23:12:05
  [run 5/6] done in 0s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.72
2                       0.74
4                       0.72
8                       0.73
16                      0.72
32                      0.75
64                      0.76
128                     0.79
256                     1.78
512                     1.89
1024                    3.84
2048                    3.91
4096                    4.00
8192                   32.28
16384                  32.27
32768                  33.23
65536                  33.63
131072                 34.48
262144                 37.23
524288                 38.95
1048576                44.03
  [run 6/6] recording — 23:12:05
  [run 6/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.72
2                       0.72
4                       0.72
8                       0.73
16                      0.71
32                      0.76
64                      0.78
128                     0.82
256                     1.80
512                     1.91
1024                    3.79
2048                    3.87
4096                    3.99
8192                   32.34
16384                  32.27
32768                  33.65
65536                  33.81
131072                 34.52
262144                 37.41
524288                 39.01
1048576                44.01

# [native sdma=0] osu_alltoall  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:12:06
  [run 1/6] warm-up done in 2s
  [run 2/6] recording — 23:12:08
  [run 2/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.17
2                       3.20
4                       3.22
8                       3.20
16                      3.19
32                      3.33
64                      3.48
128                     3.57
256                     8.61
512                     8.88
1024                   13.49
2048                   13.71
4096                   13.98
8192                   85.43
16384                  85.30
32768                  89.10
65536                  91.76
131072                 96.90
262144                112.55
524288                126.62
1048576               160.51
  [run 3/6] recording — 23:12:09
  [run 3/6] done in 1s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.22
2                       3.27
4                       3.21
8                       3.22
16                      3.23
32                      3.35
64                      3.63
128                     3.57
256                     8.52
512                     8.87
1024                   13.54
2048                   13.51
4096                   13.98
8192                   81.53
16384                  82.73
32768                  84.63
65536                  87.22
131072                 92.40
262144                104.92
524288                120.26
1048576               160.92
  [run 4/6] recording — 23:12:10
  [run 4/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.22
2                       3.23
4                       3.23
8                       3.23
16                      3.23
32                      3.46
64                      3.60
128                     3.70
256                     8.63
512                     8.90
1024                   13.52
2048                   13.73
4096                   13.96
8192                   80.68
16384                  81.48
32768                  83.55
65536                  86.44
131072                 90.77
262144                102.50
