stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,4.42
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,8.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,17.72
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,34.76
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,71.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,143.45
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,254.71
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,575.45
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,1079.47
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,2235.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,4328.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,8355.91
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,13240.61
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,17077.13
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,20468.70
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,25166.60
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,30469.74
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,33146.02
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,24900.87
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,14209.11
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,11438.42
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,11053.69
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,10895.03
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,10610.01
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,10615.54
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,4.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,8.54
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,17.72
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,31.31
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,70.82
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,144.22
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,284.99
