stack,sdma_enabled,mpich_gpu_ipc_threshold,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,4069.08
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,7891.68
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,14756.42
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,23295.72
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,41096.39
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,61344.88
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,85250.80
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,117999.66
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,133147.41
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,142778.11
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,148134.44
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,150309.31
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.79
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,6.11
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.24
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,24.56
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,49.76
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,98.64
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,182.53
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,302.65
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,425.92
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,779.64
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,561.11
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,1124.80
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,2252.13
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,1108.95
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,2209.37
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,4117.75
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,7971.51
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,14660.64
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,23263.76
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,41484.81
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,61584.97
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,85166.18
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,118220.18
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,132755.83
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,142880.22
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,148200.73
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,150375.33
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.77
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,6.23
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.45
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,24.49
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,50.51
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,95.99
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,194.66
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,351.17
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,428.32
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,764.10
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,576.23
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,1149.65
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,2314.12
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,1098.91
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,2191.00
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,4056.70
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,7853.72
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,14772.32
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,23373.36
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,41429.98
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,61521.78
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,84937.91
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,118110.53
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,132994.19
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,142860.09
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,148268.84
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,150242.45
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.71
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,6.02
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,11.95
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,24.49
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,48.83
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,95.84
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,193.42
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,312.84
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,434.40
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,777.27
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,575.96
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,1159.55
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,2315.89
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,1097.38
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,2197.56
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,4107.39
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,7972.54
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,14926.89
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,23474.06
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,41547.02
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,61852.57
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,85375.02
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,118002.87
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,132676.41
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,142815.37
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,148125.88
native,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,150313.42
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.78
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,5.89
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.00
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,24.70
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,49.40
