################# EESSI STACK ##################
--- EESSI / HSA_ENABLE_SDMA=0 ---

################################################################
# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:13
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:20:32
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
524288              40256.04
1048576             60331.41
2097152             84270.50
4194304            117578.90
8388608            132662.84
16777216           142336.35
33554432           147842.05
67108864           150279.25

################################################################
# [eessi sdma=0] intra_pkg_OAM2  GCD(4,5) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:22:20
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:22:30
  [run 2/6] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.87
2                       5.56
4                      11.90
8                      24.69
16                     48.90
32                     98.12
64                    193.29
128                   376.69
256                    37.78
512                    75.39
1024                  150.97
2048                  299.90
4096                  598.66
8192                 1075.13
16384                2143.96
32768                4029.23
65536                7778.30
131072              14337.55
262144              23128.66
524288              40864.68
1048576             61089.21
2097152             84080.75
4194304            117056.59
8388608            132575.04
16777216           142362.15
33554432           147854.77
67108864           150368.78
  [run 3/6] recording — 20:22:39
  [run 3/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.92
2                       5.87
4                      12.22
8                      25.14
16                     50.23
32                    102.66
64                    194.45
128                   385.99
256                    37.50
512                    75.08
1024                  150.16
2048                  300.55
4096                  594.61
8192                 1078.22
16384                2136.62
32768                3994.37
65536                7763.62
131072              14621.23
262144              23226.34
524288              41074.51
1048576             61321.66
2097152             84801.39
4194304            117380.52
8388608            132488.83
16777216           142145.24
33554432           148054.20
67108864           150491.56
  [run 4/6] recording — 20:22:49
  [run 4/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.91
2                       5.80
4                      12.38
8                      25.33
16                     50.92
32                     97.81
64                    202.45
128                   401.66
256                    37.51
512                    75.26
1024                  148.51
2048                  298.38
4096                  583.73
8192                 1089.22
16384                2172.74
32768                4045.93
65536                7823.85
131072              14639.45
262144              23139.73
524288              41080.78
1048576             61300.51
2097152             84852.43
4194304            117568.86
8388608            132565.42
16777216           142536.97
33554432           148050.97
67108864           150489.62
  [run 5/6] recording — 20:22:59
  [run 5/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.86
2                       5.86
4                      11.19
8                      24.95
16                     50.77
32                     99.72
64                    199.74
128                   400.20
256                    37.55
512                    75.10
1024                  150.22
2048                  300.52
4096                  595.90
8192                 1074.80
16384                2132.67
32768                3993.91
65536                7742.87
131072              14510.43
262144              23174.57
524288              41054.08
1048576             61178.18
2097152             84620.21
4194304            117661.66
8388608            132790.97
16777216           142461.83
33554432           148175.37
67108864           150599.34
  [run 6/6] recording — 20:23:09
  [run 6/6] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.85
2                       5.88
4                      12.51
8                      25.56
16                     51.33
32                     99.35
64                    203.76
128                   387.69
256                    37.61
512                    75.27
1024                  149.87
2048                  298.04
4096                  592.87
8192                 1071.84
16384                2135.33
32768                3968.72
65536                7715.12
131072              14416.73
262144              23073.04
524288              41042.03
1048576             61108.49
2097152             85094.15
4194304            118033.03
8388608            133197.41
16777216           142739.14
33554432           148175.56
67108864           150358.76

################################################################
# [eessi sdma=0] inter_pkg_2link_06  GCD(0,6) tier=inter_pkg_2link links=2
################################################################
  [run 1/6] warm-up — 20:23:18
  [run 1/6] warm-up done in 16s
  [run 2/6] recording — 20:23:34
  [run 2/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.98
4                      12.56
8                      26.33
16                     52.64
32                    101.45
64                    199.37
128                   396.75
256                    29.75
512                    59.52
1024                  119.19
2048                  237.34
4096                  463.65
8192                  907.69
16384                1780.45
32768                3373.30
65536                6223.40
131072              11214.42
262144              18548.65
524288              30614.64
1048576             42622.79
2097152             57233.71
4194304             68822.88
8388608             73539.22
16777216            75960.49
33554432            76866.48
67108864            77097.75
  [run 3/6] recording — 20:23:49
  [run 3/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.00
2                       5.86
4                      12.54
8                      26.25
16                     52.74
32                    101.70
64                    205.79
128                   411.88
256                    30.01
512                    58.99
1024                  118.07
2048                  233.88
4096                  473.32
8192                  901.93
16384                1766.63
32768                3313.23
65536                6091.62
131072              11257.26
262144              18706.02
524288              30746.54
1048576             42735.50
2097152             57769.22
4194304             68890.72
8388608             73592.84
16777216            76057.01
33554432            77085.81
67108864            77347.05
  [run 4/6] recording — 20:24:04
  [run 4/6] done in 16s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.95
2                       5.76
4                      12.31
8                      25.80
16                     45.86
32                    101.10
64                    187.05
128                   397.23
256                    29.39
512                    58.43
1024                  117.14
2048                  232.54
4096                  449.03
8192                  888.01
16384                1741.50
32768                3358.91
65536                6061.48
131072              11145.91
262144              18501.55
524288              30481.58
1048576             42484.19
2097152             57037.79
4194304             68671.59
8388608             73416.04
16777216            75905.22
33554432            76832.96
67108864            77068.46
  [run 5/6] recording — 20:24:20
  [run 5/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.93
4                      12.44
8                      25.31
16                     50.66
32                    102.89
64                    201.71
128                   404.31
256                    30.01
512                    58.99
1024                  118.04
2048                  233.62
4096                  467.81
8192                  907.53
16384                1774.22
32768                3181.79
65536                6049.61
131072              11173.50
262144              18527.22
524288              30507.51
1048576             42578.14
2097152             57521.99
4194304             68796.05
8388608             73583.06
16777216            76010.30
33554432            77081.76
67108864            77383.27
  [run 6/6] recording — 20:24:35
  [run 6/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.90
2                       5.84
4                      12.71
8                      25.63
16                     52.25
32                    104.10
64                    207.51
128                   409.53
256                    29.95
512                    58.83
1024                  117.38
2048                  230.78
4096                  456.74
8192                  900.42
16384                1753.45
32768                3222.21
65536                6069.54
131072              11119.25
262144              18419.81
524288              30395.78
1048576             42622.65
2097152             57741.38
4194304             68756.65
8388608             73503.97
16777216            75888.37
33554432            76787.85
67108864            77087.31

################################################################
# [eessi sdma=0] inter_pkg_2link_24  GCD(2,4) tier=inter_pkg_2link links=2
################################################################
  [run 1/6] warm-up — 20:24:51
  [run 1/6] warm-up done in 16s
  [run 2/6] recording — 20:25:06
  [run 2/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.88
2                       5.94
4                      12.73
