######## EESSI STACK (HSA_ENABLE_SDMA=0, UCX_RNDV_THRESH=1024) ########

################################################################
# [eessi sdma=0 rndv=1024] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 01:00:40
  [run 1/6] warm-up done in 22s
  [run 2/6] recording — 01:01:02
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
65536                7504.64
131072              14054.79
262144              22527.39
524288              40006.16
1048576             60115.22
2097152             84077.56
4194304            117096.53
8388608            132169.36
16777216           142082.76
33554432           147584.80
67108864           150152.94

################################################################
# [eessi sdma=0 rndv=1024] intra_pkg_OAM2  GCD(4,5) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 01:02:49
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 01:02:59
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.92
2                       5.84
4                      12.49
8                      25.57
16                     51.58
32                    102.58
64                    204.61
128                   403.10
256                   795.40
512                    47.73
1024                  151.26
2048                  302.98
4096                  592.58
8192                 1079.90
16384                2136.05
32768                3997.64
65536                7785.47
131072              14682.72
262144              23195.30
524288              40897.39
1048576             61133.62
2097152             84936.58
4194304            117715.21
8388608            133131.24
16777216           142930.73
33554432           149068.05
67108864           151639.55
  [run 3/6] recording — 01:03:09
  [run 3/6] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.91
4                      12.65
8                      25.88
16                     52.11
32                    103.57
64                    206.26
128                   405.41
256                   799.74
512                    47.56
1024                  150.46
2048                  301.44
4096                  597.45
8192                 1082.65
16384                2148.61
32768                4016.04
65536                7771.71
131072              14576.32
262144              23178.26
524288              40805.68
1048576             61115.84
2097152             84991.61
4194304            117600.36
8388608            132742.75
16777216           142935.45
33554432           148147.42
67108864           150377.03
  [run 4/6] recording — 01:03:18
  [run 4/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.94
2                       5.89
4                      12.58
8                      25.70
16                     51.59
32                    103.31
64                    204.70
128                   403.33
256                   789.20
512                    47.69
1024                  150.91
2048                  301.59
4096                  588.38
8192                 1072.10
16384                2118.55
32768                3989.45
65536                7732.24
131072              14506.91
262144              23100.87
524288              40775.27
1048576             60947.12
2097152             84602.16
4194304            117491.65
8388608            132701.24
16777216           142316.68
33554432           148337.62
67108864           150844.72
  [run 5/6] recording — 01:03:28
  [run 5/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.93
4                      12.67
8                      23.52
16                     51.95
32                    104.08
64                    206.02
128                   405.26
256                   796.24
512                    47.64
1024                  150.07
2048                  300.21
4096                  589.95
8192                 1085.59
16384                2161.87
32768                4008.74
65536                7713.82
131072              14424.75
262144              23013.71
524288              40889.87
1048576             61113.05
2097152             84751.48
4194304            117524.03
8388608            132602.69
16777216           142649.32
33554432           147842.31
67108864           150084.83
  [run 6/6] recording — 01:03:38
  [run 6/6] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.98
2                       5.97
4                      12.71
8                      26.04
16                     52.22
32                    103.82
64                    208.24
128                   406.56
256                   803.82
512                    47.69
1024                  150.26
2048                  301.48
4096                  590.20
8192                 1082.71
16384                2135.11
32768                4013.05
65536                7765.51
131072              14603.78
262144              23133.58
524288              40877.84
1048576             61113.44
2097152             84656.00
4194304            117645.36
8388608            132908.65
16777216           142544.02
33554432           148286.00
67108864           150783.69

################################################################
# [eessi sdma=0 rndv=1024] inter_pkg_2link_06  GCD(0,6) tier=inter_pkg_2link links=2
################################################################
  [run 1/6] warm-up — 01:03:47
  [run 1/6] warm-up done in 16s
  [run 2/6] recording — 01:04:03
  [run 2/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       5.93
4                      12.71
8                      25.99
16                     52.21
32                    103.91
64                    206.99
128                   409.40
256                   809.61
512                    42.83
1024                  119.80
2048                  233.97
4096                  460.96
8192                  887.27
16384                1753.12
32768                3198.44
65536                6072.11
131072              11194.59
262144              18609.19
524288              30601.18
1048576             42619.35
2097152             57508.40
4194304             68913.13
8388608             73569.83
16777216            75918.45
33554432            76760.81
67108864            77080.76
  [run 3/6] recording — 01:04:18
  [run 3/6] done in 15s

