################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:25
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:50:44
  [run 2/6] done in 11s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
8192                 1988.05
16384                3967.91
32768                7399.15
65536               14332.49
131072              26670.79
262144              43668.24
524288              77586.98
1048576            119611.99
2097152            166812.11
4194304            227725.84
8388608            251888.70
16777216           270288.62
33554432           279118.57
67108864           282018.00

# [eessi sdma=0] intra_pkg_OAM2  GCD(4,5) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:52:37
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:52:47
  [run 2/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.69
2                       7.42
4                      14.89
8                      29.84
16                     59.68
32                    119.23
64                    235.09
128                   458.51
256                    71.91
512                   143.09
1024                  287.40
2048                  573.63
4096                 1136.33
8192                 2052.35
16384                4077.08
32768                7692.28
65536               14797.54
131072              28002.69
262144              45464.47
524288              79925.93
1048576            121596.46
2097152            167816.49
4194304            227155.22
8388608            251348.16
16777216           270185.94
33554432           278153.50
67108864           282361.15
  [run 3/6] recording — 20:52:57
  [run 3/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.70
2                       7.41
4                      14.85
8                      29.76
16                     59.65
32                    117.96
64                    233.49
128                   457.08
256                    71.93
512                   143.69
1024                  286.60
2048                  573.31
4096                 1127.54
8192                 2072.84
16384                4135.70
32768                7762.22
65536               15029.07
131072              28247.18
262144              45319.56
524288              80206.81
1048576            121587.75
2097152            168224.77
4194304            227392.58
8388608            251965.53
16777216           270163.01
33554432           279379.66
67108864           282610.17
  [run 4/6] recording — 20:53:07
  [run 4/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.58
2                       7.16
4                      14.33
8                      28.75
16                     57.35
32                    114.73
64                    225.60
128                   421.94
256                    70.99
512                   142.56
1024                  283.52
2048                  567.78
4096                 1117.74
8192                 2059.02
16384                4124.02
32768                7668.99
65536               14944.69
131072              28017.87
262144              44586.89
524288              78969.26
1048576            121454.45
2097152            168524.67
4194304            228022.75
8388608            252840.60
16777216           269647.63
33554432           278757.31
67108864           282167.07
  [run 5/6] recording — 20:53:17
  [run 5/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.36
2                       6.72
4                      13.48
8                      25.39
16                     53.96
32                    108.01
64                    208.20
128                   402.39
256                    70.86
512                   143.22
1024                  283.33
2048                  569.49
4096                 1129.89
8192                 2060.62
16384                4111.21
32768                7636.39
65536               14742.99
131072              27338.90
262144              44361.32
524288              79215.17
1048576            120870.24
