
# [eessi sdma=0 UCX_RNDV_THRESH=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:08:59
  [run 1/4] warm-up done in 21s
  [run 2/4] recording — 01:09:20
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
4                      13.16
8                      27.00
16                     54.19
32                    108.29
64                    215.93
128                   423.40
256                   833.22
512                    42.96
1024                   86.12
2048                  172.40
4096                  485.71
8192                  913.43
16384                1798.30
32768                3369.00
65536                6506.11
131072              12098.08
262144              21194.28
524288              37901.40
1048576             57829.95
2097152             82655.62
4194304            116263.45
8388608            131486.73
16777216           141846.47
33554432           147465.22
67108864           149825.65
  [run 3/4] recording — 01:11:29
  [run 3/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.06
2                       6.19
4                      13.19
8                      27.10
16                     54.18
32                    108.57
64                    215.11
128                   424.08
256                   832.41
512                    43.11
1024                   86.38
2048                  172.63
4096                  467.25
8192                  901.28
16384                1786.66
32768                3280.98
65536                6418.44
131072              12099.24
262144              21201.33
524288              37861.10
1048576             58046.32
2097152             82734.73
4194304            116688.87
8388608            131379.40
16777216           141827.61
33554432           147270.12
67108864           149733.46
  [run 4/4] recording — 01:11:39
  [run 4/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.03
2                       6.05
4                      12.96
8                      26.59
16                     53.05
32                    106.66
64                    210.79
128                   413.71
256                   755.85
512                    42.96
1024                   85.92
2048                  172.05
4096                  481.76
8192                  922.41
16384                1820.74
32768                3488.62
65536                6710.68
131072              12272.86
262144              21064.00
524288              37695.40
1048576             57959.48
2097152             82793.78
4194304            116545.29
8388608            131789.81
16777216           141899.56
33554432           147260.08
67108864           149644.22

# [eessi sdma=0 UCX_RNDV_THRESH=8192] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:11:49
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 01:11:59
  [run 2/4] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.09
2                       6.14
4                      13.13
8                      27.00
16                     54.09
32                     98.29
64                    214.59
128                   424.25
256                   831.59
512                    42.88
1024                   86.01
2048                  172.23
4096                  344.85
8192                  927.64
16384                1847.67
32768                3433.91
65536                6625.08
131072              12070.76
262144              20999.68
524288              37696.23
1048576             57672.64
2097152             82416.89
4194304            116445.42
8388608            131723.59
16777216           141050.43
33554432           147030.03
67108864           149711.39
  [run 3/4] recording — 01:12:08
  [run 3/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.94
2                       5.34
4                      12.50
8                      25.65
16                     51.65
32                    103.49
64                    205.29
128                   407.94
256                   798.13
512                    43.03
1024                   86.03
2048                  171.27
4096                  342.00
8192                  916.73
16384                1833.60
32768                3378.77
65536                6545.38
131072              12207.48
262144              21134.11
524288              37701.80
1048576             57735.84
2097152             82267.27
4194304            116609.26
8388608            131835.01
16777216           141719.21
33554432           147352.71
67108864           149895.70
  [run 4/4] recording — 01:12:18
  [run 4/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.12
2                       6.25
4                      13.29
8                      27.38
16                     54.94
32                    110.20
64                    218.74
128                   432.59
256                   849.75
512                    43.00
1024                   86.15
2048                  172.20
4096                  343.84
8192                  925.32
16384                1841.41
32768                3403.95
65536                6640.42
131072              12325.14
262144              21229.63
524288              38119.41
1048576             58036.77
2097152             82676.32
4194304            116860.00
8388608            131810.08
16777216           141218.40
33554432           147025.33
67108864           149654.67

# [eessi sdma=0 UCX_RNDV_THRESH=16384] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:12:28
