stack,sdma_enabled,config_label,nccl_nchannels,nccl_ignore_aff,nccl_net_gdr,benchmark,num_gcds,run,size_bytes,latency_us
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,8192,48.75
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,16384,49.81
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,32768,49.83
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,65536,49.48
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,131072,50.17
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,262144,83.53
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,524288,107.29
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,1048576,119.58
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,4,37.49
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,8,36.84
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,16,36.70
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,32,37.88
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,64,40.84
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,128,46.88
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,256,46.90
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,512,47.33
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,1024,47.79
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,2048,48.60
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,4096,49.26
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,8192,50.40
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,16384,51.59
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,32768,51.45
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,65536,51.62
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,131072,52.05
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,262144,85.07
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,524288,108.83
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,6,1048576,120.72
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,1,33.00
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,2,32.47
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,4,32.51
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,8,32.62
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,16,32.59
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,32,32.66
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,64,32.71
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,128,32.82
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,256,32.96
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,512,33.13
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,1024,33.41
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,2048,34.00
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,4096,35.44
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,8192,35.64
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,16384,38.77
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,32768,45.19
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,65536,45.16
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,131072,50.67
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,262144,67.22
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,524288,100.03
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,2,1048576,166.93
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,1,26.99
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,2,26.54
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,4,26.46
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,8,26.48
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,16,26.44
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,32,26.60
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,64,26.70
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,128,26.65
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,256,26.76
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,512,27.02
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,1024,27.33
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,2048,28.06
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,4096,29.71
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,8192,30.38
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,16384,33.70
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,32768,40.81
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,65536,39.51
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,131072,46.66
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,262144,64.71
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,524288,98.45
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,3,1048576,166.23
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,1,26.58
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,2,26.49
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,4,26.38
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,8,26.45
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,16,26.42
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,32,26.54
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,64,26.68
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,128,26.68
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,256,26.92
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,512,27.02
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,1024,27.28
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,2048,28.11
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,4096,29.72
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,8192,30.47
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,16384,33.83
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,32768,40.78
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,65536,39.65
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,131072,46.56
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,262144,64.60
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,524288,98.48
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,4,1048576,165.99
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,1,33.34
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,2,33.21
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,4,33.22
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,8,33.25
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,16,33.23
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,32,33.32
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,64,33.40
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,128,33.33
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,256,33.51
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,512,33.71
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,1024,33.96
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,2048,34.73
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,4096,35.97
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,8192,36.59
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,16384,39.78
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,32768,46.54
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,65536,46.05
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,131072,51.75
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,262144,68.21
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,524288,100.20
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,5,1048576,166.25
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,1,32.04
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,2,31.87
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,4,32.07
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_alltoall,8,6,8,32.62
