STACK=eessi  NODE_A=nid005006  NODE_B=nid005007
################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] osu_allreduce  N=16  nodes=2
  [run 1/6] warm-up - 18:47:47
  [run 1/6] done in 22s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
# Size       Avg Latency(us)
1                      80.77
2                      81.01
4                      81.15
8                      86.97
16                     86.95
32                     86.78
64                     82.17
128                    82.89
256                     9.99
512                     9.79
1024                   10.09
2048                   10.48
4096                   12.43
8192                   21.42
16384                  22.47
32768                  22.58
65536                  31.80
131072                 63.52
262144                127.49
524288                254.95
1048576               509.43
  [run 2/6] recording - 18:50:43
  [run 2/6] done in 6s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      80.11
2                      80.22
4                      80.26
8                      91.29
16                     91.55
32                     91.30
64                     80.53
128                    81.36
256                     9.51
512                     9.76
1024                    9.80
2048                   10.22
4096                   12.60
8192                   21.27
16384                  22.41
32768                  22.72
65536                  31.83
131072                 63.78
262144                127.60
524288                255.21
1048576               510.26
  [run 3/6] recording - 18:50:49
  [run 3/6] done in 5s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      82.30
2                      82.19
4                      82.30
8                     103.74
16                    104.04
32                    103.76
64                     82.68
128                    83.24
256                     9.65
512                     9.76
1024                   10.04
2048                   10.45
4096                   12.68
8192                   21.37
16384                  22.46
32768                  22.83
65536                  31.70
131072                 63.87
262144                127.55
524288                254.90
1048576               509.82
  [run 4/6] recording - 18:50:54
  [run 4/6] done in 5s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      81.45
2                      81.44
4                      81.48
8                      86.87
16                     87.13
32                     86.94
64                     82.13
128                    82.80
256                     9.95
512                     9.72
1024                    9.97
2048                   10.43
4096                   12.46
8192                   21.34
16384                  22.31
32768                  22.65
65536                  31.62
131072                 63.74
262144                127.61
524288                255.18
1048576               510.12
  [run 5/6] recording - 18:50:59
  [run 5/6] done in 5s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      81.65
2                      81.75
4                      81.67
8                      99.83
16                    100.26
32                    100.10
64                     82.09
128                    82.87
256                     9.94
