STACK=native  NODE_A=nid007968  NODE_B=nid007969
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

################################################################
# [native sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:13:51
  [run 1/6] done in 5s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
32                     49.52
64                     98.85
128                   197.04
256                   389.93
512                   779.52
1024                 1560.39
2048                 3120.34
4096                 6243.69
8192                12851.83
16384               23419.27
32768               25972.09
65536               36214.55
131072              41239.52
262144              43385.32
524288              44749.88
1048576             45266.52

################################################################
# [native sdma=0] inter_GCD4_GCD4  GCD(4,4)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:14:16
srun: Step created for StepId=18750219.12
  [run 1/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.17
4                       6.18
8                      12.62
16                     25.36
32                     50.68
64                    101.47
128                   202.17
256                   399.65
512                   798.00
1024                 1597.57
2048                 3196.36
4096                 6383.64
8192                13114.56
16384               23059.63
32768               28133.80
65536               35676.36
131072              39602.28
262144              40489.06
524288              41912.16
1048576             42347.06
  [run 2/6] recording - 18:14:18
  [run 2/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.33
8                      12.60
16                     25.29
32                     50.64
64                    101.14
128                   201.64
256                   392.72
512                   797.10
1024                 1595.34
2048                 3191.46
4096                 6367.65
8192                13110.06
16384               23036.92
32768               26906.07
65536               35692.33
131072              39613.18
262144              40211.92
524288              41745.75
1048576             42326.49
  [run 3/6] recording - 18:14:20
srun: Step created for StepId=18750219.14
  [run 3/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.17
4                       6.34
8                      12.68
16                     25.41
32                     50.93
64                    101.71
128                   202.89
256                   399.34
512                   798.21
1024                 1597.71
2048                 3196.10
4096                 6386.82
8192                13173.27
16384               23056.48
32768               27474.57
65536               35697.61
131072              39741.26
262144              39227.64
524288              41050.64
1048576             38024.03
  [run 4/6] recording - 18:14:22
  [run 4/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.33
8                      12.66
16                     25.30
32                     44.94
64                     98.94
128                   199.77
256                   397.86
512                   794.72
1024                 1590.05
2048                 3179.55
4096                 6369.87
8192                13106.51
16384               23057.69
32768               27378.16
65536               35703.85
131072              39769.15
262144              40560.58
524288              40510.17
1048576             40933.66
  [run 5/6] recording - 18:14:23
  [run 5/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.16
4                       6.33
8                      12.60
16                     25.16
32                     50.36
64                    100.66
128                   201.97
256                   400.17
512                   799.27
1024                 1599.23
2048                 3197.24
4096                 6391.34
8192                13124.86
16384               23030.79
32768               28760.56
65536               35640.65
131072              39667.22
262144              40993.85
524288              42095.82
1048576             42484.93
  [run 6/6] recording - 18:14:25
srun: Step created for StepId=18750219.17
  [run 6/6] done in 3s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.31
8                      12.60
16                     25.24
32                     50.50
64                    100.80
128                   200.95
256                   398.14
512                   794.76
1024                 1592.25
2048                 3061.57
4096                 6368.03
8192                13096.64
16384               22993.00
32768               27809.47
65536               35560.31
131072              39352.89
262144              40860.41
524288              41804.94
1048576             42164.49

################################################################
# [native sdma=0] inter_GCD6_GCD6  GCD(6,6)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:14:28
  [run 1/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.14
4                       6.28
8                      12.49
16                     25.15
32                     50.18
64                    100.28
128                   200.55
256                   396.54
512                   791.26
1024                 1583.27
2048                 3169.37
4096                 6326.02
8192                13054.63
16384               24287.54
32768               27613.52
65536               36442.83
131072              41334.82
262144              43947.07
524288              45287.57
1048576             45990.76
  [run 2/6] recording - 18:14:30
  [run 2/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.53
2                       3.07
4                       6.15
8                      12.29
16                     24.61
32                     49.16
64                     98.29
128                   195.86
256                   390.80
512                   780.95
1024                 1562.98
2048                 3126.58
4096                 6252.96
8192                12866.09
16384               24158.50
32768               27621.47
65536               36484.38
131072              41266.14
262144              43960.52
524288              45297.30
1048576             45994.23
  [run 3/6] recording - 18:14:31
  [run 3/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.29
8                      12.60
16                     25.19
32                     50.24
64                    100.56
128                   201.10
256                   396.97
512                   792.23
1024                 1585.42
2048                 3170.63
4096                 6335.79
8192                13045.21
16384               24316.83
32768               27444.56
65536               36405.02
131072              41373.63
262144              43953.17
524288              45294.21
1048576             45993.09
  [run 4/6] recording - 18:14:33
srun: Step created for StepId=18750219.21
  [run 4/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.17
4                       6.33
8                      12.65
16                     25.28
32                     50.67
64                    101.22
128                   202.08
256                   400.38
512                   798.91
1024                 1601.00
2048                 3197.94
4096                 6390.51
8192                13126.30
16384               24306.51
32768               27694.46
65536               36443.26
131072              41331.73
262144              43948.03
524288              45293.44
1048576             45993.76
  [run 5/6] recording - 18:14:34
  [run 5/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.17
4                       6.33
8                      12.66
16                     25.31
32                     50.50
64                    100.91
128                   201.31
256                   399.23
512                   796.35
1024                 1593.44
2048                 3196.22
4096                 6390.52
8192                13115.61
16384               24354.84
32768               27615.93
65536               36499.13
131072              41346.73
262144              43976.66
524288              45309.14
1048576             46000.13
  [run 6/6] recording - 18:14:36
  [run 6/6] done in 3s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.33
8                      12.61
16                     25.26
32                     50.58
64                    101.06
128                   201.83
256                   399.65
512                   797.28
1024                 1598.07
2048                 3194.60
4096                 6384.40
8192                13102.94
16384               24379.24
32768               27511.46
65536               36467.78
131072              41372.42
262144              43976.27
524288              45308.11
1048576             46000.15

################################################################
# [native sdma=0] inter_GCD1_GCD1  GCD(1,1)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:14:39
  [run 1/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.60
2                       3.21
4                       6.40
8                      12.81
16                     25.65
32                     51.32
64                    102.57
128                   204.82
256                   401.06
512                   804.24
1024                 1607.81
2048                 3220.60
4096                 6438.77
8192                13278.17
16384               24781.41
32768               31169.47
65536               37439.64
131072              41509.89
262144              43982.32
524288              45309.77
