stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,bandwidth_MBps
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,8192,13634.36
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,16384,20518.47
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,32768,27968.78
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,65536,36803.84
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,131072,40253.53
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,262144,40985.52
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,524288,42395.99
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,1048576,42813.53
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,1,0.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,2,0.26
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,4,0.52
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,8,1.03
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,16,2.07
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,32,4.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,64,8.28
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,128,16.43
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,256,510.92
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,512,1021.45
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,1024,2043.88
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,2048,4090.07
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,4096,8032.21
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,8192,13456.97
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,16384,19654.45
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,32768,26492.63
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,65536,32017.25
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,131072,35539.47
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,262144,34374.19
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,524288,34353.19
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,1048576,35279.71
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,1,0.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,2,0.26
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,4,0.52
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,8,1.01
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,16,1.98
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,32,3.98
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,64,7.94
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,128,15.78
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,256,511.57
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,512,1013.64
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,1024,2043.29
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,2048,4093.67
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,4096,8171.98
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,8192,13593.53
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,16384,20485.20
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,32768,28118.23
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,65536,36982.78
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,131072,40483.72
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,262144,41561.23
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,524288,43259.49
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,6,1048576,43830.44
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,1,0.14
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,2,0.27
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,4,0.54
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,8,1.08
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,16,2.16
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,32,4.26
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,64,8.63
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,128,17.09
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,256,515.78
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,512,1027.36
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,1024,2047.60
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,2048,4116.41
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,4096,8202.28
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,8192,13427.91
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,16384,20676.15
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,32768,29189.70
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,65536,38091.20
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,131072,42226.41
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,262144,44391.87
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,524288,45520.08
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,2,1048576,46108.15
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,1,0.14
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,2,0.28
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,4,0.56
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,8,1.12
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,16,2.22
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,32,4.40
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,64,8.78
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,128,17.44
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,256,513.80
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,512,1022.10
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,1024,2044.87
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,2048,4058.75
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,4096,8179.96
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,8192,13360.19
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,16384,20740.83
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,32768,29213.53
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,65536,38192.87
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,131072,42269.34
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,262144,44424.00
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,524288,45533.00
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,3,1048576,46115.42
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,1,0.14
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,2,0.28
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,4,0.55
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,8,1.08
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,16,2.16
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,32,4.33
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,64,8.63
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,128,17.08
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,256,510.50
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,512,1019.62
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,1024,2042.06
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,2048,4077.47
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,4096,8159.82
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,8192,13392.19
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,16384,20618.73
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,32768,29161.20
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,65536,37953.66
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,131072,42205.65
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,262144,44385.12
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,524288,45506.68
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,4,1048576,46112.34
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,1,0.14
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,2,0.28
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,4,0.56
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,8,1.12
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,16,2.21
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,32,4.35
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,64,8.66
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,128,17.22
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,256,513.85
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,512,1027.26
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,1024,2050.26
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,2048,4096.84
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,4096,8200.96
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,8192,13350.04
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,16384,20850.93
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,32768,28991.64
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,65536,38119.36
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,131072,42218.56
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,262144,44360.97
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,524288,45508.45
eessi,0,inter_GCD2_GCD2,nid005014,nid005015,2,2,inter_node,nic_via_xgmi,5,1048576,46103.86
