STACK=native  NODE_A=nid007956  NODE_B=nid007957
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] osu_allreduce  N=16  nodes=2
  [run 1/6] warm-up - 18:38:09
  [run 1/6] done in 6s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.72
8                       2.70
16                      2.70
32                      2.67
64                      2.69
128                     3.32
256                     4.76
512                     6.71
1024                   12.61
2048                   13.65
4096                   14.88
8192                   27.30
16384                  27.76
32768                  32.21
65536                  33.63
131072                 37.19
262144                 50.66
524288                 78.13
1048576               134.07
  [run 2/6] recording - 18:38:41
  [run 2/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.70
2                       2.69
4                       2.76
8                       2.71
16                      2.70
32                      2.71
64                      2.74
128                     3.39
256                     4.68
512                     6.61
1024                   12.66
2048                   13.60
4096                   14.85
8192                   27.26
16384                  27.64
32768                  31.90
65536                  33.50
131072                 37.02
262144                 50.57
524288                 78.04
1048576               134.08
  [run 3/6] recording - 18:38:42
  [run 3/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.72
2                       2.71
4                       2.73
8                       2.70
16                      2.70
32                      2.71
64                      2.75
128                     3.34
256                     4.73
512                     7.02
1024                   12.63
2048                   13.69
4096                   14.98
8192                   27.44
16384                  27.76
32768                  32.08
65536                  33.76
131072                 37.22
262144                 50.71
524288                 78.04
1048576               134.13
  [run 4/6] recording - 18:38:44
  [run 4/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.65
2                       2.67
4                       2.70
8                       2.66
16                      2.64
32                      2.66
64                      2.69
128                     3.31
256                     4.69
512                     6.67
1024                   12.66
2048                   13.68
4096                   14.98
8192                   27.40
16384                  27.90
32768                  32.20
65536                  33.69
131072                 37.33
262144                 50.83
524288                 78.21
1048576               134.18
  [run 5/6] recording - 18:38:46
  [run 5/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.65
2                       2.68
4                       2.74
8                       2.71
16                      2.68
32                      2.69
64                      2.68
128                     3.34
256                     4.76
512                     6.74
1024                   12.90
2048                   13.87
4096                   15.14
8192                   27.44
16384                  27.82
32768                  32.19
65536                  33.77
131072                 37.23
262144                 50.57
524288                 78.29
1048576               134.25
  [run 6/6] recording - 18:38:48
  [run 6/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.67
2                       2.71
4                       2.71
8                       2.65
16                      2.64
32                      2.66
64                      2.68
128                     3.34
256                     4.75
512                     6.72
1024                   12.80
2048                   13.67
4096                   14.81
8192                   27.32
16384                  27.68
32768                  32.07
65536                  33.58
131072                 37.10
262144                 50.59
524288                 78.00
1048576               133.99

# [native sdma=0] osu_allgather  N=16  nodes=2
  [run 1/6] warm-up - 18:38:49
srun: Step created for StepId=18750651.18
  [run 1/6] done in 2s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
