stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,num_links,run,size_bytes,bandwidth_MBps
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,2,8.19
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,4,16.35
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,8,32.71
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,16,66.94
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,32,129.72
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,64,247.94
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,128,454.05
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,256,480.15
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,512,868.41
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,1024,578.47
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,2048,1160.35
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,4096,2329.07
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,8192,1068.62
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,16384,2137.17
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,32768,3974.03
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,65536,7785.07
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,131072,15137.13
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,262144,26718.63
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,524288,53192.96
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,1048576,85574.90
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,2097152,114534.58
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,4194304,124447.32
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,8388608,130111.47
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,16777216,137008.40
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,33554432,140772.88
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,4,67108864,142896.76
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,1,3.82
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,2,8.56
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,4,16.95
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,8,34.54
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,16,68.81
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,32,131.50
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,64,205.70
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,128,460.11
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,256,480.60
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,512,959.77
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,1024,597.56
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,2048,1197.88
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,4096,2394.05
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,8192,1069.78
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,16384,2139.93
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,32768,3975.47
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,65536,7838.35
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,131072,15123.15
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,262144,26692.51
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,524288,53168.69
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,1048576,86919.48
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,2097152,114452.67
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,4194304,123811.90
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,8388608,130050.04
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,16777216,137207.72
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,33554432,140587.92
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,5,67108864,142486.20
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,1,3.76
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,2,8.46
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,4,16.67
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,8,33.04
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,16,68.11
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,32,130.81
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,64,247.87
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,128,378.65
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,6,256,481.03
