stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,num_links,run,size_bytes,bandwidth_MBps
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,3,16777216,24276.40
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,3,33554432,24284.03
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,3,67108864,24287.94
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,1,0.06
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,2,0.13
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,4,0.26
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,8,0.52
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,16,1.03
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,32,2.06
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,64,4.14
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,128,8.19
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,256,308.71
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,512,619.11
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,1024,1232.08
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,2048,2464.97
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,4096,4933.99
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,8192,8847.48
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,16384,12785.08
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,32768,17252.13
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,65536,20838.33
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,131072,22170.56
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,262144,23357.48
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,524288,23812.34
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,1048576,24050.14
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,2097152,24169.74
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,4194304,24230.51
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,8388608,24260.92
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,16777216,24276.57
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,33554432,24284.10
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,4,67108864,24287.94
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,1,0.06
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,2,0.13
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,4,0.25
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,8,0.51
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,16,1.01
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,32,2.04
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,64,4.09
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,128,8.17
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,256,305.59
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,512,614.86
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,1024,1227.56
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,2048,2451.52
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,4096,4887.37
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,8192,8777.54
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,16384,12904.53
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,32768,17138.65
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,65536,20819.89
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,131072,22188.54
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,262144,23356.57
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,524288,23813.41
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,1048576,24050.04
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,2097152,24169.75
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,4194304,24230.51
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,8388608,24261.24
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,16777216,24275.17
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,33554432,24284.09
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,5,67108864,24287.96
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,6,1,0.07
eessi,0,inter_GCD0_GCD0,nid005020,nid005021,0,0,inter_node,nic_via_xgmi,NA,6,2,0.13
