VARIANT=bigbuf  NODE_A=nid005025  NODE_B=nid007977
############## EESSI coll tune  variant=bigbuf  (SDMA=0) ##############
=== fi_info -e | grep -i FI_CXI_ (supported knobs) ===
=== applied env ===
  FI_CXI_DEFAULT_CQ_SIZE=131072
  FI_CXI_DEFAULT_TX_SIZE=2048
  FI_CXI_DISABLE_NON_INJECT_MSG_IDC=1
  FI_CXI_OFLOW_BUF_MIN_POSTED=16
  FI_CXI_OFLOW_BUF_SIZE=16777216
  FI_CXI_REQ_BUF_MIN_POSTED=16
  FI_CXI_REQ_BUF_SIZE=16777216
  FI_CXI_RX_MATCH_MODE=hybrid
  OMPI_MCA_coll_ucc_enable=0

# [bigbuf] osu_allreduce  N=16  nodes=2  mem='-d rocm'
  [run 1/4] warm-up - 14:33:18
  [run 1/4] done in 23s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
  [run 4/4] done in 4s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.55
2                      10.49
4                      10.50
8                      12.30
16                     12.33
32                     12.30
64                     10.53
128                    10.70
256                    10.95
512                    11.07
1024                   11.40
2048                   11.78
4096                   13.69
8192                   25.82
16384                  26.77
32768                  27.69
65536                  37.34
131072                 69.19
262144                132.46
524288                259.41
1048576               513.62

# [bigbuf] osu_allgather  N=16  nodes=2  mem='-d rocm'
  [run 1/4] warm-up - 14:35:29
  [run 1/4] done in 8s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      93.80
2                      92.28
4                      90.84
8                      90.93
16                     91.70
32                     94.02
64                     94.13
128                    94.75
256                    96.93
512                   103.31
1024                  110.24
2048                  119.11
4096                  146.24
8192                  166.73
16384                 206.20
32768                 328.87
65536                 552.26
131072               1012.12
262144               1846.85
524288               3602.06
1048576              7094.35
  [run 2/4] recording - 14:35:37
  [run 2/4] done in 8s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      94.03
2                      94.00
4                      92.11
8                      92.33
16                     93.17
32                     95.06
64                     95.41
128                    95.70
256                    98.67
512                   104.95
1024                  111.59
2048                  120.64
4096                  142.34
8192                  171.21
16384                 216.82
32768                 354.14
65536                 580.40
131072               1036.62
262144               1803.36
524288               3517.83
1048576              6950.06
  [run 3/4] recording - 14:35:45
  [run 3/4] done in 8s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      93.24
2                      92.63
4                      91.09
8                      91.18
16                     92.01
32                     94.06
64                     94.70
128                    95.03
256                    97.78
512                   104.26
1024                  111.03
2048                  114.01
4096                  148.26
8192                  168.66
16384                 213.05
32768                 348.70
65536                 492.25
131072                955.58
262144               1855.72
524288               3605.65
1048576              7173.67
  [run 4/4] recording - 14:35:53
  [run 4/4] done in 8s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      95.23
2                      94.05
4                      92.36
8                      92.55
16                     93.30
32                     95.41
64                     95.70
128                    95.94
256                    98.51
512                   104.85
1024                  111.61
2048                  120.59
4096                  147.96
8192                  163.24
16384                 208.27
32768                 331.77
65536                 548.35
131072               1012.85
262144               1765.19
524288               3448.94
1048576              6810.36
VARIANT=bigbuf COMPLETE  CSV=results/osu_coll_bigbuf_eessi_18762409.csv
