stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,bandwidth_MBps
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,4,32768,30790.16
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,4,65536,37266.70
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,4,131072,41408.70
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,4,262144,43934.56
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,4,524288,45284.39
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,4,1048576,45988.51
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,1,1.57
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,2,3.15
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,4,6.30
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,8,12.59
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,16,25.14
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,32,50.49
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,64,100.66
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,128,200.48
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,256,397.26
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,512,792.81
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,1024,1588.96
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,2048,3176.01
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,4096,6353.84
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,8192,13037.22
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,16384,24570.54
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,32768,30726.32
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,65536,37293.60
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,131072,41396.77
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,262144,43931.58
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,524288,45289.61
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,5,1048576,45990.67
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,1,1.58
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,2,3.17
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,4,6.32
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,8,12.63
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,16,25.28
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,32,50.45
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,64,101.14
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,128,201.29
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,256,396.61
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,512,794.91
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,1024,1590.05
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,2048,3177.84
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,4096,6340.83
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,8192,13091.28
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,16384,24514.07
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,32768,30761.96
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,65536,37286.28
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,131072,41398.17
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,262144,43932.31
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,524288,45287.31
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,6,1048576,45988.14
native,0,inter_GCD2_GCD2,nid007968,nid007969,2,2,inter_node,nic_via_xgmi,2,1,1.57
native,0,inter_GCD2_GCD2,nid007968,nid007969,2,2,inter_node,nic_via_xgmi,2,2,3.13
native,0,inter_GCD2_GCD2,nid007968,nid007969,2,2,inter_node,nic_via_xgmi,2,4,6.27
native,0,inter_GCD2_GCD2,nid007968,nid007969,2,2,inter_node,nic_via_xgmi,2,8,12.57
native,0,inter_GCD2_GCD2,nid007968,nid007969,2,2,inter_node,nic_via_xgmi,2,16,25.10
native,0,inter_GCD2_GCD2,nid007968,nid007969,2,2,inter_node,nic_via_xgmi,2,32,50.26
