stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,latency_us
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,512,3.30
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,1024,3.48
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,2048,3.74
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,4096,3.54
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,8192,6.81
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,16384,7.30
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,32768,11.95
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,65536,9.45
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,131072,12.20
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,262144,17.54
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,524288,28.39
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,1048576,50.03
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,2097152,93.33
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,4194304,179.99
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,1,3.17
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,2,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,4,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,8,3.21
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,16,3.21
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,32,3.17
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,64,3.19
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,128,3.25
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,256,3.29
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,512,3.38
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,1024,3.44
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,2048,3.63
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,4096,3.56
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,8192,6.91
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,16384,7.33
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,32768,8.07
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,65536,9.46
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,131072,12.20
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,262144,17.59
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,524288,28.39
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,1048576,50.04
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,2097152,93.31
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,5,4194304,179.95
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,1,3.15
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,2,3.14
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,4,3.17
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,8,3.13
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,16,3.15
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,32,3.16
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,64,3.17
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,128,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,256,3.23
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,512,3.30
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,1024,3.49
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,2048,3.49
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,4096,3.54
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,8192,6.95
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,16384,7.30
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,32768,8.05
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,65536,9.43
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,6,131072,12.16
