stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,latency_us
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,512,3.30
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,1024,3.42
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,2048,3.50
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,4096,3.57
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,8192,7.11
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,16384,7.37
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,32768,8.18
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,65536,9.51
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,131072,15.74
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,262144,17.64
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,524288,28.47
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,1048576,50.11
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,2097152,93.24
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,4194304,179.65
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,1,20.68
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,2,20.69
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,4,20.69
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,8,20.71
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,16,20.67
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,32,20.65
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,64,20.67
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,128,21.23
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,5,256,3.25
