benchmark,num_gcds,smallest_size_eessi_wins,advantage_at_smallest_win,advantage_at_min_size,advantage_at_max_size
osu_allreduce,2,256,2.5307692307692307,0.7196969696969696,1.7675164913531822
osu_allreduce,4,256,2.066420664206642,0.5652173913043479,1.6903356121814792
osu_allreduce,8,131072,1.2839498770909528,0.5744234800838576,1.6470290515234336
osu_alltoall,2,256,1.1401273885350318,0.43373493975903615,1.0310747663551403
osu_alltoall,4,4,1.0222929936305731,0.8451443569553806,0.9966651985150695
osu_alltoall,8,128,1.0790568654646324,0.6470588235294118,1.2036200364809877
osu_bcast,2,8192,1.113251155624037,0.3164556962025316,1.0655283802491924
osu_bcast,4,8192,1.2230614300100704,0.282258064516129,0.8987534978377002
osu_bcast,8,8192,1.2734015345268541,0.16785714285714287,1.1446847144272037
osu_allgather,2,8192,1.0937711577522005,0.05341246290801187,1.0454545454545454
osu_allgather,4,131072,1.4821267647942327,0.13534316869788326,1.3160742466371083
osu_allgather,8,65536,1.8452704744635844,0.2385484830458061,1.210705627989255
