Using OSU collective binaries from: /users/joglekar/osu-native/osu-micro-benchmarks-7.5/c/mpi/collective/blocking

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
# Size       Avg Latency(us)
4                       0.64
8                       0.63
16                      0.68
32                      0.69
64                      0.63
128                     0.67
256                     4.78
512                     5.13
1024                    4.79
2048                    5.50
4096                    7.76
8192                   30.27
16384                  37.07
32768                  51.00
65536                  79.00
131072                159.16
262144                171.94
524288                196.50
1048576               254.07

################################################################
# osu_allreduce  N=8 GCDs   devices=0,1,2,3,4,5,6,7
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.30
8                       1.29
16                      1.34
32                      1.29
64                      1.37
128                     1.41
256                     5.84
512                     6.17
1024                    6.48
2048                    8.49
4096                   14.63
8192                   39.62
16384                  45.66
32768                  61.48
65536                  92.85
131072                195.96
262144                203.93
524288                223.95
1048576               275.02
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.40
8                       1.33
16                      1.32
32                      1.37
64                      1.37
128                     1.40
256                     5.99
512                     6.32
1024                    6.57
2048                    8.54
4096                   14.25
8192                   38.45
16384                  46.36
32768                  62.91
65536                  91.76
131072                200.84
262144                208.28
524288                221.54
1048576               283.06
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.31
8                       1.39
16                      1.42
32                      1.35
64                      1.45
128                     1.44
256                     5.80
512                     6.26
1024                    6.56
2048                    8.66
4096                   14.46
8192                   40.32
16384                  47.32
32768                  67.04
65536                  92.98
131072                198.38
262144                201.56
524288                218.71
1048576               278.70
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.33
8                       1.37
16                      1.30
32                      1.30
64                      1.43
128                     1.41
256                     5.74
512                     6.27
1024                    6.44
2048                    8.48
4096                   14.43
8192                   38.27
16384                  46.12
32768                  61.88
65536                  91.85
131072                203.70
262144                203.03
524288                218.34
1048576               274.87
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.30
8                       1.33
16                      1.33
32                      1.32
64                      1.35
128                     1.38
256                     5.75
512                     6.04
1024                    6.64
2048                    8.32
4096                   13.89
8192                   38.95
16384                  45.01
32768                  58.87
65536                  90.37
131072                198.78
262144                206.82
524288                221.11
1048576               282.26
