Using OSU collective binaries from: /users/joglekar/osu-native/osu-micro-benchmarks-7.5/c/mpi/collective/blocking

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
4096                   24.17
8192                   96.52
16384                  96.08
32768                  96.11
65536                  99.33
131072                105.53
262144                120.16
524288                150.97
1048576               226.86
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.11
2                       1.94
4                       1.93
8                       2.11
16                      2.10
32                      2.04
64                      2.13
128                     2.10
256                    12.40
512                    12.59
1024                   20.86
2048                   21.73
4096                   23.29
8192                   95.15
16384                  95.56
32768                  96.75
65536                  99.82
131072                107.48
262144                121.61
524288                151.35
1048576               222.79
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.99
2                       2.10
4                       1.96
8                       2.08
16                      1.97
32                      2.01
64                      2.19
128                     2.11
256                    12.36
512                    12.49
1024                   20.54
2048                   21.40
4096                   23.71
8192                   94.03
16384                  95.16
32768                  95.40
65536                  98.80
131072                105.61
262144                120.01
524288                148.87
1048576               222.48

################################################################
# osu_allreduce  N=8 GCDs   devices=0,1,2,3,4,5,6,7
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.62
2                       4.46
4                       4.45
8                       4.61
16                      4.57
32                      4.56
64                      5.45
128                     5.91
256                     8.92
512                     8.80
1024                   37.00
2048                   37.83
4096                   39.95
8192                  116.67
16384                 118.95
32768                 122.85
65536                 135.64
131072                140.53
262144                168.14
524288                229.94
1048576               359.56
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.36
2                       4.40
4                       4.46
8                       4.61
16                      4.76
32                      4.81
64                      5.70
128                     6.15
256                     9.28
512                     8.84
1024                   36.48
2048                   36.01
4096                   40.16
8192                  115.48
16384                 118.31
32768                 120.90
65536                 134.74
131072                138.32
262144                165.70
524288                227.21
1048576               357.67
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.60
2                       4.58
4                       4.54
8                       4.66
16                      4.79
32                      4.78
64                      5.67
128                     6.09
256                     9.22
512                     8.96
1024                   38.59
2048                   38.38
4096                   41.38
8192                  119.37
16384                 121.84
32768                 124.67
65536                 136.82
131072                142.38
262144                171.18
524288                231.05
1048576               362.54
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.51
2                       4.58
4                       4.43
8                       4.58
16                      4.68
32                      4.79
64                      5.69
128                     6.26
256                     7.91
512                     8.87
1024                   38.68
2048                   39.23
4096                   41.23
8192                  119.30
16384                 121.40
32768                 125.66
65536                 139.53
131072                144.02
262144                170.61
524288                231.53
1048576               360.58
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.52
2                       4.57
4                       4.59
8                       4.66
16                      4.76
32                      4.88
64                      5.76
128                     6.17
256                     8.98
512                     8.63
1024                   38.29
2048                   39.52
4096                   42.59
8192                  118.30
16384                 120.62
32768                 123.88
65536                 136.51
131072                140.69
262144                169.09
524288                231.21
1048576               360.66
