pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
intra_pkg_OAM0,0,1,intra_pkg,4,6,2,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,6,4,0.48
intra_pkg_OAM0,0,1,intra_pkg,4,6,8,0.48
intra_pkg_OAM0,0,1,intra_pkg,4,6,16,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,6,32,0.56
intra_pkg_OAM0,0,1,intra_pkg,4,6,64,0.65
intra_pkg_OAM0,0,1,intra_pkg,4,6,128,0.70
intra_pkg_OAM0,0,1,intra_pkg,4,6,256,1.12
intra_pkg_OAM0,0,1,intra_pkg,4,6,512,1.26
intra_pkg_OAM0,0,1,intra_pkg,4,6,1024,2.57
intra_pkg_OAM0,0,1,intra_pkg,4,6,2048,2.57
intra_pkg_OAM0,0,1,intra_pkg,4,6,4096,2.59
intra_pkg_OAM0,0,1,intra_pkg,4,6,8192,16.68
intra_pkg_OAM0,0,1,intra_pkg,4,6,16384,16.67
intra_pkg_OAM0,0,1,intra_pkg,4,6,32768,16.73
intra_pkg_OAM0,0,1,intra_pkg,4,6,65536,16.96
intra_pkg_OAM0,0,1,intra_pkg,4,6,131072,17.70
intra_pkg_OAM0,0,1,intra_pkg,4,6,262144,18.58
intra_pkg_OAM0,0,1,intra_pkg,4,6,524288,20.36
intra_pkg_OAM0,0,1,intra_pkg,4,6,1048576,23.65
intra_pkg_OAM0,0,1,intra_pkg,4,6,2097152,30.75
intra_pkg_OAM0,0,1,intra_pkg,4,6,4194304,45.94
intra_pkg_OAM1,2,3,intra_pkg,4,2,1,0.48
intra_pkg_OAM1,2,3,intra_pkg,4,2,2,0.47
intra_pkg_OAM1,2,3,intra_pkg,4,2,4,0.47
intra_pkg_OAM1,2,3,intra_pkg,4,2,8,0.48
intra_pkg_OAM1,2,3,intra_pkg,4,2,16,0.48
intra_pkg_OAM1,2,3,intra_pkg,4,2,32,0.55
intra_pkg_OAM1,2,3,intra_pkg,4,2,64,0.63
intra_pkg_OAM1,2,3,intra_pkg,4,2,128,0.67
intra_pkg_OAM1,2,3,intra_pkg,4,2,256,1.10
intra_pkg_OAM1,2,3,intra_pkg,4,2,512,1.23
intra_pkg_OAM1,2,3,intra_pkg,4,2,1024,2.48
intra_pkg_OAM1,2,3,intra_pkg,4,2,2048,2.48
intra_pkg_OAM1,2,3,intra_pkg,4,2,4096,2.51
intra_pkg_OAM1,2,3,intra_pkg,4,2,8192,16.63
intra_pkg_OAM1,2,3,intra_pkg,4,2,16384,16.62
intra_pkg_OAM1,2,3,intra_pkg,4,2,32768,16.78
intra_pkg_OAM1,2,3,intra_pkg,4,2,65536,16.98
intra_pkg_OAM1,2,3,intra_pkg,4,2,131072,17.39
intra_pkg_OAM1,2,3,intra_pkg,4,2,262144,18.24
intra_pkg_OAM1,2,3,intra_pkg,4,2,524288,20.13
intra_pkg_OAM1,2,3,intra_pkg,4,2,1048576,23.58
intra_pkg_OAM1,2,3,intra_pkg,4,2,2097152,30.66
intra_pkg_OAM1,2,3,intra_pkg,4,2,4194304,45.67
intra_pkg_OAM1,2,3,intra_pkg,4,3,1,0.49
intra_pkg_OAM1,2,3,intra_pkg,4,3,2,0.49
intra_pkg_OAM1,2,3,intra_pkg,4,3,4,0.49
intra_pkg_OAM1,2,3,intra_pkg,4,3,8,0.48
intra_pkg_OAM1,2,3,intra_pkg,4,3,16,0.49
intra_pkg_OAM1,2,3,intra_pkg,4,3,32,0.56
intra_pkg_OAM1,2,3,intra_pkg,4,3,64,0.62
intra_pkg_OAM1,2,3,intra_pkg,4,3,128,0.69
intra_pkg_OAM1,2,3,intra_pkg,4,3,256,1.11
intra_pkg_OAM1,2,3,intra_pkg,4,3,512,1.24
intra_pkg_OAM1,2,3,intra_pkg,4,3,1024,2.52
intra_pkg_OAM1,2,3,intra_pkg,4,3,2048,2.54
intra_pkg_OAM1,2,3,intra_pkg,4,3,4096,2.57
intra_pkg_OAM1,2,3,intra_pkg,4,3,8192,16.89
intra_pkg_OAM1,2,3,intra_pkg,4,3,16384,16.89
intra_pkg_OAM1,2,3,intra_pkg,4,3,32768,17.07
