benchmark,num_gcds,run,size_bytes,latency_us
osu_allreduce,4,5,1048576,174.52
osu_allreduce,4,6,4,0.51
osu_allreduce,4,6,8,0.52
osu_allreduce,4,6,16,0.52
osu_allreduce,4,6,32,0.52
osu_allreduce,4,6,64,0.54
osu_allreduce,4,6,128,0.57
osu_allreduce,4,6,256,3.69
osu_allreduce,4,6,512,4.09
osu_allreduce,4,6,1024,3.81
osu_allreduce,4,6,2048,3.84
osu_allreduce,4,6,4096,5.75
osu_allreduce,4,6,8192,26.08
osu_allreduce,4,6,16384,31.10
osu_allreduce,4,6,32768,38.73
osu_allreduce,4,6,65536,58.39
osu_allreduce,4,6,131072,118.48
osu_allreduce,4,6,262144,125.91
osu_allreduce,4,6,524288,146.62
osu_allreduce,4,6,1048576,174.83
osu_allreduce,6,2,4,0.67
osu_allreduce,6,2,8,0.64
osu_allreduce,6,2,16,0.72
osu_allreduce,6,2,32,0.66
osu_allreduce,6,2,64,0.64
osu_allreduce,6,2,128,0.66
osu_allreduce,6,2,256,4.78
osu_allreduce,6,2,512,5.15
osu_allreduce,6,2,1024,4.76
osu_allreduce,6,2,2048,5.46
osu_allreduce,6,2,4096,7.54
osu_allreduce,6,2,8192,30.81
osu_allreduce,6,2,16384,36.30
osu_allreduce,6,2,32768,49.79
osu_allreduce,6,2,65536,76.73
osu_allreduce,6,2,131072,161.82
osu_allreduce,6,2,262144,176.60
osu_allreduce,6,2,524288,202.10
osu_allreduce,6,2,1048576,259.37
osu_allreduce,6,3,4,0.63
osu_allreduce,6,3,8,0.63
osu_allreduce,6,3,16,0.71
osu_allreduce,6,3,32,0.64
osu_allreduce,6,3,64,0.64
osu_allreduce,6,3,128,0.68
osu_allreduce,6,3,256,4.79
osu_allreduce,6,3,512,5.14
osu_allreduce,6,3,1024,4.73
osu_allreduce,6,3,2048,5.52
osu_allreduce,6,3,4096,7.44
osu_allreduce,6,3,8192,30.71
osu_allreduce,6,3,16384,37.39
osu_allreduce,6,3,32768,51.06
osu_allreduce,6,3,65536,77.89
osu_allreduce,6,3,131072,154.68
osu_allreduce,6,3,262144,171.95
osu_allreduce,6,3,524288,198.74
osu_allreduce,6,3,1048576,257.01
osu_allreduce,6,4,4,0.64
osu_allreduce,6,4,8,0.63
osu_allreduce,6,4,16,0.63
osu_allreduce,6,4,32,0.67
osu_allreduce,6,4,64,0.70
osu_allreduce,6,4,128,0.68
osu_allreduce,6,4,256,4.78
osu_allreduce,6,4,512,5.06
osu_allreduce,6,4,1024,4.63
osu_allreduce,6,4,2048,5.43
osu_allreduce,6,4,4096,7.79
osu_allreduce,6,4,8192,30.27
osu_allreduce,6,4,16384,37.71
osu_allreduce,6,4,32768,50.16
osu_allreduce,6,4,65536,76.89
osu_allreduce,6,4,131072,158.90
