
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
131072              11056.57
262144              20678.40
524288              36282.58
1048576             58600.78
2097152             83158.79
4194304            105349.86
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.01
2                       6.66
4                      13.19
8                      27.24
16                     54.13
32                    107.58
64                    198.65
128                   364.27
256                   437.83
512                   807.45
1024                  572.09
2048                 1145.40
4096                 2296.71
8192                  751.06
16384                1491.35
32768                2993.98
65536                5842.52
131072              11207.62
262144              20871.08
524288              36736.10
1048576             59065.85
2097152             83689.90
4194304            105654.32
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       6.11
4                      12.34
8                      24.96
16                     50.60
32                     98.12
64                    168.32
128                   342.42
256                   429.65
512                   784.17
1024                  551.33
2048                 1121.18
4096                 2245.96
8192                  723.19
16384                1436.61
32768                2875.34
65536                5625.07
131072              10810.49
262144              20133.88
524288              35574.29
1048576             57566.32
2097152             82485.59
4194304            104606.68
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.92
2                       6.48
4                      16.20
8                      26.92
16                     53.64
32                    104.24
64                    199.81
128                   345.13
256                   442.49
512                   805.42
1024                  559.59
2048                 1125.95
4096                 2249.19
8192                  751.91
16384                1497.79
32768                2989.60
65536                5814.79
131072              11191.34
262144              20820.91
524288              36624.59
1048576             59080.89
2097152             83970.62
4194304            106039.44

################################################################
# intra_pkg_OAM3   GCD(6,7)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.66
2                       5.99
4                      12.03
8                      24.16
16                     49.30
32                     95.17
64                    183.63
128                   345.09
256                   428.52
512                   789.82
1024                  571.82
2048                 1140.02
4096                 2280.87
8192                  763.93
16384                1519.45
32768                3039.77
65536                5926.10
131072              11388.03
262144              21191.21
524288              37171.68
1048576             59759.40
2097152             84394.01
4194304            106269.68
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.78
2                       6.27
4                      14.17
8                      26.37
16                     50.39
32                    108.76
64                    195.34
128                   388.99
256                   438.12
512                   797.30
1024                  560.51
2048                 1124.49
4096                 2250.23
8192                  767.40
16384                1528.73
32768                3065.34
65536                5960.00
131072              11450.39
262144              21258.94
524288              37347.67
1048576             59875.30
2097152             84655.43
4194304            106218.62
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.81
2                       6.21
4                      12.22
8                      24.74
16                     49.82
32                     97.85
64                    192.65
128                   355.00
256                   424.71
512                   773.67
1024                  564.69
2048                 1131.16
4096                 2270.54
8192                  742.61
16384                1475.30
32768                2952.28
65536                5748.10
131072              11085.91
262144              20677.01
524288              36345.09
1048576             58594.19
2097152             83034.56
4194304            105065.57
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.98
2                       6.49
4                      13.31
8                      26.51
16                     54.15
32                    105.97
64                    203.76
128                   361.72
256                   440.45
512                   808.37
1024                  565.98
2048                 1134.33
4096                 2268.89
8192                  769.10
16384                1534.23
32768                3064.22
65536                5960.80
131072              11426.70
262144              21295.27
524288              37329.36
1048576             59955.31
2097152             84694.21
4194304            106046.89
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.75
2                       6.17
4                      14.93
8                      25.14
16                     50.02
32                     98.74
64                    171.58
128                   338.22
256                   432.80
512                   774.68
1024                  566.77
2048                 1135.14
4096                 2266.19
8192                  763.76
16384                1521.79
32768                3047.16
65536                5910.76
131072              11397.52
262144              21213.00
524288              37207.98
1048576             59721.88
2097152             84543.58
4194304            106226.60

################################################################
# inter_pkg_2link_06   GCD(0,6)   tier=inter_pkg_2link   num_links=2
# Hypothesis: inter-package, 2 links, ~70 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.69
2                       5.87
4                      12.02
8                      25.05
16                     49.36
32                     97.92
64                    183.95
128                   343.93
256                   430.22
512                   788.99
1024                  570.96
2048                 1143.87
4096                 2288.90
8192                 1019.27
16384                2037.91
32768                3966.20
65536                7593.57
131072              14188.45
262144              23412.87
524288              36840.90
1048576             47836.59
2097152             55343.42
4194304             60650.35
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.79
2                       6.25
4                      12.54
8                      24.98
16                     49.82
32                     98.53
64                    185.98
128                   336.02
256                   430.67
512                   789.02
1024                  574.51
2048                 1146.79
4096                 2296.64
8192                 1019.55
16384                2039.87
32768                3966.49
65536                7601.66
131072              14229.35
262144              23452.89
524288              36855.71
1048576             47860.79
2097152             55547.06
4194304             60625.57
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
