
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
32                    142.03
64                    276.75
128                   530.91
256                   519.94
512                   935.99
1024                  879.54
2048                 1739.52
4096                 3434.93
8192                 1458.54
16384                2921.10
32768                5793.21
65536               11345.41
131072              21772.51
262144              40770.92
524288              71417.02
1048576            115066.37
2097152            162508.52
4194304            201773.34
  [run 4] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.60
2                       9.11
4                      18.34
8                      36.56
16                     72.93
32                    140.50
64                    274.30
128                   531.28
256                   533.60
512                   948.22
1024                  899.32
2048                 1782.31
4096                 3504.70
8192                 1457.30
16384                2926.55
32768                5795.12
65536               11323.80
131072              21746.52
262144              40724.46
524288              71450.66
1048576            114899.08
2097152            161897.61
4194304            201709.42
  [run 5] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.63
2                       9.11
4                      18.24
8                      36.59
16                     73.22
32                    141.94
64                    277.12
128                   533.00
256                   525.55
512                   948.03
1024                  889.71
2048                 1755.02
4096                 3450.19
8192                 1458.84
16384                2917.33
32768                5795.11
65536               11362.87
131072              21765.51
262144              40716.01
524288              71569.03
1048576            115021.77
2097152            162603.45
4194304            202212.01
  [run 6] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.12
4                      18.25
8                      36.53
16                     73.00
32                    140.94
64                    273.42
128                   526.89
256                   527.23
512                   946.49
1024                  891.08
2048                 1767.72
4096                 3485.91
8192                 1511.74
16384                3026.11
32768                6038.70
65536               11801.50
131072              22577.04
262144              42130.63
524288              73629.01
1048576            117650.81
2097152            164024.89
4194304            201831.90

################################################################
# intra_pkg_OAM3   GCD(6,7)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.64
2                       9.14
4                      18.32
8                      36.62
16                     73.15
32                    141.92
64                    275.11
128                   530.82
256                   525.95
512                   934.72
1024                  881.47
2048                 1743.87
4096                 3443.40
8192                 1489.59
16384                3019.62
32768                5950.04
65536               11624.96
131072              22119.42
262144              41906.10
524288              73394.83
1048576            117054.94
2097152            164455.66
4194304            203655.15
  [run 3] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.66
2                       9.23
4                      18.34
8                      36.72
16                     73.53
32                    142.49
64                    275.81
128                   535.56
256                   533.48
512                   953.36
1024                  893.13
2048                 1767.10
4096                 3481.85
8192                 1505.88
16384                3023.19
32768                5974.25
65536               11718.31
131072              22423.47
262144              41949.68
524288              73287.03
1048576            117088.71
2097152            164263.64
4194304            203598.28
  [run 4] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
